Sujetos,Condición,Percepción cuánto recuerdo,Valencia percibida recuerdo,Valencia percibida -5 a +5,Intensidad percibida recuerdo,Nro palabras únicas,Intensidad pysent,Positivo pysennt,Negativo pysent,Neutro pysennt,Nro sust,Nro verb,Nro adj,Nro numeral,Nro propn,Nro advs
7,presencial,3.0,1.0,3.0,3.0,-0.8455842836284104,0.3410194590687752,0.054533518850803375,0.2864859402179718,0.6589805483818054,39,26,16,10,4,22
8,presencial,3.0,0.0,3.0,3.0,0.5550485496522615,0.36560436338186264,0.25407150387763977,0.11153285950422287,0.6343955993652344,42,41,5,5,1,16
9,presencial,3.0,1.0,4.0,4.0,0.055398956844185714,0.38418825156986713,0.022597985342144966,0.36159026622772217,0.6158116459846497,83,78,28,13,25,28
10,presencial,3.0,1.0,4.0,4.0,-0.314146131410772,0.21113015711307526,0.024294346570968628,0.18683581054210663,0.7888697981834412,65,51,23,5,11,28
11,presencial,3.0,0.0,5.0,5.0,0.39491464842211865,0.3750603124499321,0.05954357236623764,0.31551674008369446,0.6249397397041321,53,32,23,5,6,32
12,presencial,,,,,-0.5908223722127263,0.11477194726467133,0.06028991565108299,0.05448203161358833,0.8852280974388123,18,17,10,4,8,4
13,presencial,4.0,1.0,4.0,4.0,0.12145633895632994,0.18708036839962006,0.06571542471647263,0.12136494368314743,0.8129196166992188,37,24,11,4,15,12
14,presencial,2.0,0.0,4.0,4.0,-0.30485035114970066,0.1940554529428482,0.11534099280834198,0.07871446013450623,0.805944561958313,31,19,9,1,3,15
15,presencial,2.0,0.0,2.0,2.0,-0.1036385946203097,0.24135969206690788,0.1995072215795517,0.041852470487356186,0.7586403489112854,32,27,11,7,8,16
16,presencial,2.0,0.0,3.0,3.0,0.07042952122737638,0.7614151798188686,0.00997227057814598,0.7514429092407227,0.23858486115932465,29,29,12,3,1,23
17,presencial,5.0,1.0,5.0,5.0,-0.05528825031119844,0.2131851650774479,0.061677489429712296,0.1515076756477356,0.78681480884552,68,61,19,3,10,47
18,presencial,5.0,1.0,4.0,4.0,0.004071842154482595,0.3352433331310749,0.017534900456666946,0.31770843267440796,0.664756715297699,136,72,52,14,14,57
19,presencial,2.0,1.0,2.0,2.0,-1.1489704787700872,0.8685932317748666,0.004294649697840214,0.8642985820770264,0.131406769156456,9,6,3,1,0,3
20,presencial,3.0,0.0,4.0,4.0,0.24662126427459036,0.5094675254076719,0.022924913093447685,0.48654261231422424,0.4905324876308441,36,30,23,7,12,35
21,presencial,3.0,0.0,4.0,4.0,0.1298645020679142,0.22482893243432045,0.16682401299476624,0.058004919439554214,0.7751711010932922,49,47,20,5,6,42
22,presencial,4.0,1.0,2.0,2.0,0.5033714438167572,0.45613410137593746,0.4290921688079834,0.027041932567954063,0.5438658595085144,243,168,67,37,18,102
23,presencial,3.0,0.0,2.0,2.0,-0.5229142897065463,0.8506612805649638,0.0066788820549845695,0.8439823985099792,0.14933869242668152,26,20,13,7,1,14
24,presencial,2.0,0.0,3.0,3.0,-0.7848327918463868,0.26916756480932236,0.04063085466623306,0.2285367101430893,0.7308324575424194,46,33,14,2,4,24
25,presencial,3.0,0.0,2.0,2.0,1.0890304932807235,0.1519475057721138,0.045697808265686035,0.10624969750642776,0.8480525016784668,46,44,12,1,8,35
26,presencial,3.0,0.0,2.0,2.0,-0.9114467342237873,0.5696407072246075,0.5537431836128235,0.01589752361178398,0.43035924434661865,28,22,18,5,14,20
27,presencial,2.0,1.0,3.0,3.0,-1.0127099265578654,0.21085239201784134,0.12718425691127777,0.08366813510656357,0.789147675037384,36,27,9,4,5,34
28,presencial,3.0,0.0,3.0,3.0,0.6987780551591044,0.6938390070572495,0.005416863597929478,0.6884221434593201,0.30616098642349243,79,65,29,22,0,82
29,presencial,1.0,0.0,1.0,1.0,-0.1537182979318651,0.1552552655339241,0.04127448797225952,0.11398077756166458,0.8447448015213013,44,30,12,14,8,22
30,presencial,4.0,1.0,3.0,3.0,-1.5335189586660396,0.13090196624398232,0.0710674524307251,0.05983451381325722,0.8690980076789856,13,13,4,2,5,16
1,cfk,2.0,0.0,0.0,1.0,-0.7382750541751716,0.5639396049082279,0.013691220432519913,0.550248384475708,0.4360603988170624,19,17,3,0,0,16
2,cfk,2.0,-1.0,-2.0,2.0,-0.7431850128076443,0.2279240731149912,0.02542903460562229,0.2024950385093689,0.7720759510993958,30,29,2,0,7,20
3,cfk,3.0,-1.0,-3.0,3.0,0.6975627879254396,0.734152439981699,0.016603652387857437,0.7175487875938416,0.2658475637435913,54,41,9,5,2,26
4,cfk,3.0,-1.0,-4.0,4.0,-0.20212524910162374,0.1921341810375452,0.028789246454834938,0.16334493458271027,0.8078657984733582,111,76,25,5,13,63
