Sujetos,Condición,Positivo pysent,Negativo pysent,Intensidad pysent
1,antesdevenir,0.09628339111804962,0.03523136302828789,0.1315147541463375
2,antesdevenir,0.1423591822385788,0.025127552449703217,0.167486734688282
3,antesdevenir,0.05707487463951111,0.08036831766366959,0.1374431923031807
4,antesdevenir,0.18919862806797028,0.05242599919438362,0.2416246272623539
5,antesdevenir,0.027072658762335777,0.5748727917671204,0.6019454505294561
6,antesdevenir,0.03978804126381874,0.08752252906560898,0.12731057032942772
7,antesdevenir,0.007724433206021786,0.7836496829986572,0.791374116204679
8,antesdevenir,0.006365923210978508,0.7904516458511353,0.7968175690621138
9,antesdevenir,0.212935671210289,0.026702063158154488,0.2396377343684435
10,antesdevenir,0.07218185812234879,0.21471942961215973,0.2869012877345085
11,antesdevenir,0.025254609063267708,0.3965940475463867,0.4218486566096544
12,antesdevenir,0.47971561551094055,0.010843164287507534,0.4905587797984481
13,antesdevenir,0.015547891147434711,0.32782942056655884,0.34337731171399355
14,antesdevenir,0.031249627470970154,0.2086925059556961,0.23994213342666626
15,antesdevenir,0.3144177794456482,0.02442316897213459,0.3388409484177828
16,antesdevenir,0.5613952279090881,0.025266554206609726,0.5866617821156979
17,antesdevenir,0.20106272399425507,0.03598855808377266,0.23705128207802773
18,antesdevenir,0.6004409790039062,0.015005341731011868,0.6154463207349181
19,antesdevenir,0.11353425681591034,0.11088481545448303,0.22441907227039337
20,antesdevenir,0.006792121101170778,0.818556010723114,0.8253481318242848
21,antesdevenir,0.1335144191980362,0.03436751663684845,0.16788193583488464
22,antesdevenir,0.8803549408912659,0.005070116370916367,0.8854250572621822
23,antesdevenir,0.008255532942712307,0.7944562435150146,0.802711776457727
24,antesdevenir,0.005409072153270245,0.8836205005645752,0.8890295727178454
25,antesdevenir,0.15017451345920563,0.0535217747092247,0.20369628816843033
26,antesdevenir,0.2504834532737732,0.09993235021829605,0.35041580349206924
27,antesdevenir,0.052414242178201675,0.18643872439861298,0.23885296657681465
28,antesdevenir,0.011895153671503067,0.5874251127243042,0.5993202663958073
29,antesdevenir,0.04868012294173241,0.5735508799552917,0.6222310028970242
30,antesdevenir,0.0741427093744278,0.12918789684772491,0.2033306062221527
31,antesdevenir,0.21387463808059692,0.027568669989705086,0.241443308070302
32,antesdevenir,0.7495555877685547,0.012205831706523895,0.7617614194750786
33,antesdevenir,0.00436627259477973,0.8975173234939575,0.9018835960887372
34,antesdevenir,0.09624365717172623,0.1381257325410843,0.23436938971281052
35,antesdevenir,0.20656582713127136,0.02890552580356598,0.23547135293483734
36,antesdevenir,0.45491957664489746,0.04352742061018944,0.4984469972550869
37,antesdevenir,0.6105223894119263,0.028986211866140366,0.6395086012780666
38,antesdevenir,0.030973877757787704,0.18520572781562805,0.21617960557341576
39,antesdevenir,0.3681681454181671,0.020808082073926926,0.38897622749209404
40,antesdevenir,0.0974283441901207,0.02846240997314453,0.12589075416326523
41,antesdevenir,0.7354233860969543,0.00922719668596983,0.7446505827829242
42,antesdevenir,0.16302329301834106,0.04384910687804222,0.20687239989638329
43,antesdevenir,0.2090456634759903,0.03744974732398987,0.24649541079998016
44,antesdevenir,0.06773310899734497,0.2518048882484436,0.3195379972457886
45,antesdevenir,0.02186320722103119,0.2959454655647278,0.31780867278575897
46,antesdevenir,0.09897927194833755,0.05390037223696709,0.15287964418530464
47,antesdevenir,0.0038553609047085047,0.9192999005317688,0.9231552614364773
48,antesdevenir,0.2750728130340576,0.0225902758538723,0.2976630888879299
49,antesdevenir,0.020699365064501762,0.33224889636039734,0.3529482614248991
50,antesdevenir,0.8897945880889893,0.004734538495540619,0.8945291265845299
51,antesdevenir,0.0780436098575592,0.1074100211262703,0.1854536309838295
52,antesdevenir,0.00337276142090559,0.9392377734184265,0.9426105348393321
53,antesdevenir,0.041913747787475586,0.156158909201622,0.1980726569890976
54,antesdevenir,0.05974699556827545,0.12501171231269836,0.18475870788097382
55,antesdevenir,0.03323766216635704,0.22818315029144287,0.2614208124577999
56,antesdevenir,0.16955092549324036,0.07382946461439133,0.24338039010763168
57,antesdevenir,0.3322148025035858,0.023149972781538963,0.3553647752851248
58,antesdevenir,0.27523332834243774,0.053641363978385925,0.32887469232082367
59,antesdevenir,0.023638663813471794,0.2416965812444687,0.2653352450579405
60,antesdevenir,0.738908588886261,0.013768422417342663,0.7526770113036036
61,antesdevenir,0.23954430222511292,0.05995440483093262,0.29949870705604553
62,antesdevenir,0.08735276013612747,0.11100052297115326,0.19835328310728073
63,antesdevenir,0.40237507224082947,0.013958134688436985,0.41633320692926645
64,antesdevenir,0.5225415825843811,0.013251125812530518,0.5357927083969116
65,antesdevenir,0.41602855920791626,0.017793845385313034,0.4338224045932293
