Sujetos,Condición,num_palabras_unicas_norm,primera_persona_norm,tercera_persona_norm,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm,Positivo pysent,Negativo pysent,Intensidad pysent,Valencia pysent,Valencia e intensidad pysent,Valencia2 pysent,Valencia e intensidad2 pysent,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_LSC,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density,Detalles internos norm,Detalles externos norm
7.0,cfk,-0.3925670109135901,0.0204081632653061,0.0765306122448979,0.1454081632653061,0.1045918367346938,0.0561224489795918,0.0943877551020408,0.0025510204081632,0.0153061224489795,0.1164910867810249,0.2501798570156097,0.3666709437966347,0.0,0.0,-1.0,-0.3666709437966347,1.0365027119248509,1.0007369993279327,1.0205289286920354,186.0,27.0,13.972602739726026,3.89247311827957,0.0377113133940182,4.852581295391566,0.0807315534416581,0.0,9.0,28.0,0.0105201976169718,0.5608108108108109,0.4391891891891892
8.0,cfk,-1.5796451210630589,0.0666666666666666,0.0333333333333333,0.1777777777777777,0.1555555555555555,0.0333333333333333,0.0333333333333333,0.0,0.0,0.0033024398144334,0.9341564178466796,0.9374588576611133,-1.0,-0.9374588576611133,-1.0,-0.9374588576611133,1.0956015658884997,0.8895456979482396,0.7497660476274909,57.0,9.0,14.475903614457838,2.8771929824561404,0.0394736842105263,6.351264078871864,0.0150097465886939,0.0,1.0,1.0,0.0256892230576441,0.4301075268817204,0.5698924731182796
9.0,cfk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,cfk,-0.3922322702763681,0.025,0.0916666666666666,0.1208333333333333,0.1708333333333333,0.0375,0.075,0.0083333333333333,0.0041666666666666,0.0166596267372369,0.2889151275157928,0.3055747542530298,0.0,0.0,-1.0,-0.3055747542530298,0.9834336302465464,0.9784963028512564,1.0043188507365397,116.0,19.0,13.534246575342465,3.7586206896551726,0.0205992509363295,4.926885387215244,0.0440569837051156,1.0,4.5,12.333333333333334,0.0163418290854572,0.5147058823529411,0.4852941176470588
11.0,cfk,-0.7789879730255737,0.0149253731343283,0.044776119402985,0.1716417910447761,0.0820895522388059,0.0149253731343283,0.1044776119402985,0.0,0.0298507462686567,0.0120052611455321,0.7665030360221863,0.7785082971677184,-1.0,-0.7785082971677184,-1.0,-0.7785082971677184,0.9239069634340252,0.9383888702280462,0.9093414860219186,82.0,13.0,14.099999999999998,3.1463414634146343,0.018348623853211,5.644506983531374,0.0270938185572331,0.0,2.0,5.0,0.0194218608852755,0.5539568345323741,0.4460431654676259
12.0,cfk,-0.3609037129791786,0.0631067961165048,0.0436893203883495,0.0970873786407767,0.1310679611650485,0.0533980582524271,0.116504854368932,0.0194174757281553,0.0436893203883495,0.0072742654010653,0.8123288154602051,0.8196030808612704,-1.0,-0.8196030808612704,-1.0,-0.8196030808612704,1.0728937442993112,1.0378765068090785,0.9882957395347508,101.0,16.0,12.2744014732965,3.5643564356435644,0.0333333333333333,4.93846685082871,0.0399314220368384,1.0,3.5,6.333333333333333,0.0178217821782178,0.7273809523809524,0.2726190476190476
13.0,cfk,-1.0317906400091967,0.034090909090909,0.0795454545454545,0.1477272727272727,0.1022727272727272,0.0,0.0681818181818181,0.0,0.0227272727272727,0.0100337676703929,0.7181268334388733,0.7281606011092663,-1.0,-0.7281606011092663,-1.0,-0.7281606011092663,0.8383154410680151,0.941405787051137,0.9665212659121,59.0,9.0,14.1,3.016949152542373,0.0188679245283018,5.796280061475816,0.0503585397653194,0.0,0.0,3.0,0.0260081823495032,0.585,0.415
14.0,cfk,0.0205672517447431,0.0511363636363636,0.0681818181818181,0.1534090909090909,0.1136363636363636,0.034090909090909,0.096590909090909,0.0113636363636363,0.0284090909090909,0.0288084615021944,0.1493831872940063,0.1781916487962007,0.0,0.0,0.0,0.0,0.92889532040785,0.9112202901491014,0.9281649830814108,101.0,16.0,16.636363636363637,3.247524752475248,0.0357142857142857,6.1918660366036535,0.0364348126707972,0.0,4.0,3.0,0.0162376237623762,0.76010101010101,0.2398989898989899
15.0,cfk,-0.167259742468751,0.054054054054054,0.0675675675675675,0.1554054054054054,0.1824324324324324,0.0135135135135135,0.0743243243243243,0.0135135135135135,0.0135135135135135,0.0191174186766147,0.5303349494934082,0.549452368170023,-1.0,-0.549452368170023,-1.0,-0.549452368170023,0.9966015323268204,0.9019147059027692,0.9052302550768434,89.0,14.0,16.392857142857146,3.1235955056179776,0.0219298245614035,5.632637622209117,0.0368214576671111,0.0,2.0,3.0,0.0177477017364657,0.8203592814371258,0.1796407185628742
16.0,cfk,-0.5132649025747368,0.0324074074074074,0.0509259259259259,0.1481481481481481,0.1111111111111111,0.0509259259259259,0.074074074074074,0.0,0.0231481481481481,0.03544807061553,0.125336468219757,0.1607845388352871,0.0,0.0,0.0,0.0,1.0393721291054443,1.0012256437938796,0.9895064190752274,120.0,19.0,13.223300970873789,3.4166666666666665,0.0151515151515151,5.183312511898248,0.0337171193028391,0.0,3.0,7.0,0.0143557422969187,0.796875,0.203125
17.0,cfk,-0.228587626897751,0.0928381962864721,0.0477453580901856,0.1140583554376657,0.1511936339522546,0.0450928381962864,0.1087533156498673,0.0079575596816976,0.0503978779840848,0.0121842417865991,0.6944776177406311,0.7066618595272303,-1.0,-0.7066618595272303,-1.0,-0.7066618595272303,1.0232911169868146,0.9918589930378998,0.9804601654958756,163.0,19.0,14.844166666666665,3.914110429447853,0.0183823529411764,4.895558699569608,0.0518508577050329,0.0,8.0,19.0,0.0120805877452094,0.6305970149253731,0.3694029850746269
