Sujetos,Condición,num_palabras_unicas_norm,primera_persona_norm,tercera_persona_norm,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm,Positivo pysent,Negativo pysent,Intensidad pysent,Valencia pysent,Valencia e intensidad pysent,Valencia2 pysent,Valencia e intensidad2 pysent,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_LSC,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density,Detalles internos norm,Detalles externos norm
1.0,antesdevenir,-0.994575705827027,0.1013513513513513,0.0472972972972973,0.1081081081081081,0.2297297297297297,0.0202702702702702,0.0878378378378378,0.0135135135135135,0.0405405405405405,0.0392645001411438,0.2852512001991272,0.324515700340271,0,0.0,-1.0,-0.324515700340271,0.8439565411055105,0.9498520378785436,0.7876398701286283,97.0,16.0,20.699300699300693,2.88659793814433,0.0049504950495049,6.879483274457663,0.0183521518573064,0.0,3.0,2.0,0.0150343642611683,0.6162420382165605,0.3837579617834395
2.0,antesdevenir,1.4050285060517362,0.0316205533596837,0.0553359683794466,0.1225296442687747,0.1818181818181818,0.0632411067193675,0.1304347826086956,0.0079051383399209,0.0434782608695652,0.1587273329496383,0.0327677950263023,0.1914951279759407,0,0.0,0.0,0.0,0.9034148294403244,0.8725821181828426,0.8858723906796877,136.0,23.0,15.63636363636363,3.3823529411764706,0.0292682926829268,5.917300455535751,0.0298479264471911,0.0,4.0,9.0,0.0125272331154684,0.7290874524714829,0.2709125475285171
3.0,antesdevenir,-0.2563478739833089,0.0205761316872428,0.0534979423868312,0.1810699588477366,0.1687242798353909,0.0452674897119341,0.0864197530864197,0.0205761316872428,0.0452674897119341,0.0286668986082077,0.4807496070861816,0.5094165056943893,0,0.0,-1.0,-0.5094165056943893,1.029679411057237,0.921305684249368,0.965560141749518,122.0,20.0,13.749999999999998,3.5737704918032787,0.0054945054945054,5.189480874316923,0.0314043067088928,1.0,6.5,11.333333333333334,0.0147676466603441,0.8352059925093633,0.1647940074906367
4.0,antesdevenir,-0.9444235781124958,0.0635593220338983,0.0677966101694915,0.173728813559322,0.163135593220339,0.0338983050847457,0.0720338983050847,0.0127118644067796,0.0127118644067796,0.3028309345245361,0.0303191356360912,0.3331500701606273,0,0.0,1.0,0.3331500701606273,0.8294209361353652,0.8212213126812234,0.7994529390411854,209.0,29.0,13.636240786240784,3.885167464114832,0.0122093023255813,4.81696159984229,0.0388395717020246,0.0,5.0,17.0,0.0093393448656606,0.8537549407114624,0.1462450592885375
5.0,antesdevenir,0.7300506840406568,0.0647482014388489,0.0671462829736211,0.1438848920863309,0.1966426858513189,0.0287769784172661,0.0863309352517985,0.0167865707434052,0.0191846522781774,0.6049389839172363,0.0173976477235555,0.6223366316407919,1,0.6223366316407919,1.0,0.6223366316407919,0.9533516952911552,0.9392569577617316,0.8804125880439972,203.0,24.0,15.281830238726794,3.684729064039409,0.0134932533733133,5.127456882052703,0.033744002196557,2.0,4.0,10.666666666666666,0.009120616495147,0.7847222222222222,0.2152777777777778
6.0,antesdevenir,-0.6800952119332937,0.0655737704918032,0.0573770491803278,0.1475409836065573,0.1967213114754098,0.0,0.0983606557377049,0.0,0.0327868852459016,0.0910404101014137,0.0800039023160934,0.1710443124175071,0,0.0,0.0,0.0,0.823833073033517,0.7916532751844282,0.7086375366583592,74.0,12.0,18.700000000000003,2.945945945945946,0.0,6.441984450203639,0.0268298638444269,0.0,2.0,3.0,0.0201777119585338,0.6821705426356589,0.3178294573643411
7.0,antesdevenir,0.7532518554208707,0.0527740189445196,0.0784844384303112,0.1366711772665764,0.1975642760487145,0.0284167794316644,0.087956698240866,0.0216508795669824,0.013531799729364,0.1056977435946464,0.1288100332021713,0.2345077767968177,0,0.0,0.0,0.0,0.8469391390105644,0.8218261348617586,0.8430700301117848,278.0,35.0,13.192868719611022,4.41726618705036,0.0223719676549865,4.559846095772271,0.0592885329069428,0.0,15.0,36.0,0.0079734046697659,0.907088122605364,0.092911877394636
8.0,antesdevenir,0.950255268139496,0.0201005025125628,0.0954773869346733,0.2261306532663316,0.1658291457286432,0.0201005025125628,0.0402010050251256,0.0100502512562814,0.0150753768844221,0.1822806298732757,0.0632906481623649,0.2455712780356407,0,0.0,0.0,0.0,1.06217610263192,1.050612487838024,1.1122717523195658,110.0,17.0,12.782967032967033,3.272727272727273,0.0101010101010101,5.374775683032683,0.052492714020847,0.0,0.0,10.0,0.0150125104253544,0.8666666666666667,0.1333333333333333
9.0,antesdevenir,-0.4040603174538227,0.0503731343283582,0.0559701492537313,0.1287313432835821,0.1455223880597015,0.0578358208955223,0.0708955223880597,0.0391791044776119,0.0578358208955223,0.0555462948977947,0.285776674747467,0.3413229696452617,0,0.0,-1.0,-0.3413229696452617,0.914568477969698,0.9171332463711996,0.89597687022339,231.0,28.0,12.338074398249454,3.9567099567099566,0.0108932461873638,4.822674720073804,0.042843193327301,1.0,10.5,23.33333333333333,0.008601543384152,0.83154296875,0.16845703125
10.0,antesdevenir,-1.4811277155795877,0.0689655172413793,0.1034482758620689,0.1494252873563218,0.1954022988505747,0.0114942528735632,0.0689655172413793,0.0344827586206896,0.0459770114942528,0.2855331301689148,0.0238850750029087,0.3094182051718235,0,0.0,1.0,0.3094182051718235,0.8679451502112421,0.7836196733756782,0.7727873010717324,57.0,9.0,14.841176470588234,2.807017543859649,0.0138888888888888,6.076404245908968,0.0231551099972152,0.0,0.0,2.0,0.025062656641604,0.5558823529411765,0.4441176470588235
11.0,antesdevenir,-0.3595329106271878,0.0571428571428571,0.0428571428571428,0.1142857142857142,0.1928571428571428,0.0428571428571428,0.0928571428571428,0.0142857142857142,0.0357142857142857,0.1183056309819221,0.0858616977930069,0.204167328774929,0,0.0,0.0,0.0,0.9666188213710968,0.998249651308843,0.9543337478742556,90.0,14.0,16.302469135802472,2.933333333333333,0.0109890109890109,6.325516561088547,0.0377685350234369,0.0,3.0,3.0,0.0164794007490636,1.0,0.0
12.0,antesdevenir,-0.135338892367192,0.0474137931034482,0.0646551724137931,0.1508620689655172,0.1551724137931034,0.0387931034482758,0.0905172413793103,0.0387931034482758,0.0387931034482758,0.131271630525589,0.0446109659969806,0.1758825965225696,0,0.0,0.0,0.0,0.7568433734328543,0.7498885758418146,0.6847012381643323,129.0,20.0,15.1830985915493,3.2868217054263567,0.0096525096525096,5.4514179614999305,0.0448475867702322,0.0,4.0,11.0,0.0128391472868217,0.9090909090909092,0.0909090909090909
13.0,antesdevenir,-0.8586714051083247,0.0344827586206896,0.057471264367816,0.1379310344827586,0.160919540229885,0.0344827586206896,0.0689655172413793,0.0114942528735632,0.1149425287356321,0.8461745381355286,0.0063378172926604,0.852512355428189,1,0.852512355428189,1.0,0.852512355428189,0.8457627206641654,0.7716395350672216,0.6528310411310011,54.0,9.0,15.049999999999995,2.851851851851852,0.0131578947368421,6.05429332634521,0.0235155790711346,0.0,1.0,2.0,0.0269042627533193,0.78125,0.21875
14.0,antesdevenir,-0.750704688683126,0.0307692307692307,0.0538461538461538,0.1846153846153846,0.1307692307692307,0.0538461538461538,0.0461538461538461,0.0153846153846153,0.0307692307692307,0.2857767045497894,0.0282343309372663,0.3140110354870558,0,0.0,1.0,0.3140110354870558,0.9233781529388216,0.9413824080622654,0.8139019533647008,73.0,11.0,10.661157024793388,3.26027397260274,0.0148514851485148,5.114961885354176,0.0464021898953405,0.0,1.0,7.0,0.0226407914764079,0.6495535714285714,0.3504464285714285
