Sujetos,Condición,Recuerdo_autop,Valencia_autop,Intensidad_autop,ValeInt_autop,num_palabras_unicas_norm,primera_persona_norm,tercera_persona_norm,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm,Positivo pysent,Negativo pysent,Intensidad pysent,Valencia pysent,Valencia e intensidad pysent,Valencia2 pysent,Valencia e intensidad2 pysent,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_LSC,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density,Detalles internos norm,Detalles externos norm
1.0,cfk,2.0,0.0,5.0,0.0,-1.4297025771263514,0.0805369127516778,0.0402684563758389,0.1275167785234899,0.1275167785234899,0.0402684563758389,0.1140939597315436,0.0134228187919463,0.0536912751677852,0.0199056509882211,0.5053341388702393,0.5252397898584604,-1,-0.5252397898584604,-1.0,-0.5252397898584604,0.8761715416939485,0.8127706999674937,0.8693822812762186,86.0,14.0,15.428571428571423,3.0,0.0168539325842696,6.303928082861062,0.03479279118814,0.0,3.0,4.0,0.0176470588235294,0.6511194029850746,0.3488805970149253
2.0,cfk,2.0,0.0,2.0,0.0,-0.9366856707011576,0.0446428571428571,0.0446428571428571,0.1517857142857142,0.1428571428571428,0.0178571428571428,0.1160714285714285,0.0,0.0178571428571428,0.0246930252760648,0.358509749174118,0.3832027744501829,0,0.0,-1.0,-0.3832027744501829,0.6928152672705691,0.8530181843918602,0.8241647340313107,62.0,11.0,12.83251633986928,3.2580645161290325,0.0486111111111111,5.538654246292218,0.0263301214914118,2.0,1.0,2.6666666666666665,0.0267054468535166,0.4274809160305343,0.5725190839694656
3.0,cfk,1.0,0.0,2.0,0.0,0.0335693644501952,0.0464285714285714,0.0678571428571428,0.1821428571428571,0.1214285714285714,0.0428571428571428,0.0785714285714285,0.0035714285714285,0.0142857142857142,0.0182692091912031,0.680907666683197,0.6991768758744001,-1,-0.6991768758744001,-1.0,-0.6991768758744001,0.9238859408749588,0.8915851327945479,0.9476207893859034,147.0,22.0,14.763565891472863,3.510204081632653,0.0087281795511221,4.976753652329982,0.0248165715503774,0.0,1.0,8.0,0.0120212468549063,0.6223723723723724,0.3776276276276276
4.0,cfk,4.0,-1.0,3.0,-3.0,-0.2107080492999989,0.0440251572327044,0.0943396226415094,0.1572327044025157,0.1226415094339622,0.0471698113207547,0.0974842767295597,0.0078616352201257,0.0283018867924528,0.0397891700267791,0.1547222435474395,0.1945114135742187,0,0.0,0.0,0.0,0.9319864640167588,0.9470229521640088,0.9343089770654452,273.0,37.0,15.63669064748202,4.073260073260073,0.0190355329949238,4.780533507907676,0.0407150331140846,0.0,7.0,28.0,0.0074876104287869,0.6166419019316494,0.3833580980683507
5.0,cfk,1.0,0.0,1.0,0.0,-0.9437240549793856,0.0364963503649635,0.072992700729927,0.145985401459854,0.1094890510948905,0.0437956204379562,0.0948905109489051,0.0072992700729927,0.0072992700729927,0.111048586666584,0.0950707271695137,0.2061193138360977,0,0.0,0.0,0.0,0.9846207932077966,1.0257818020782126,0.9331202059552928,84.0,15.0,12.688564476885649,3.261904761904762,0.0141509433962264,5.370436734773589,0.0275524079095507,0.0,0.0,3.0,0.0196500286861732,0.4525316455696203,0.5474683544303798
6.0,cfk,5.0,-1.0,5.0,-5.0,-0.2830853166422847,0.0360824742268041,0.056701030927835,0.1185567010309278,0.0824742268041237,0.0463917525773195,0.1391752577319587,0.0154639175257731,0.0309278350515463,0.1574522852897644,0.0995869562029838,0.2570392414927482,0,0.0,0.0,0.0,0.9269302275642988,0.955272124122636,0.8696559053670541,107.0,19.0,13.068681318681318,3.383177570093458,0.0358851674641148,5.3946329988120505,0.050945731319563,0.0,3.0,8.0,0.0159583847645917,0.6413043478260869,0.358695652173913
7.0,cfk,3.0,0.0,5.0,0.0,-0.5948977721789835,0.0204081632653061,0.0765306122448979,0.1454081632653061,0.1045918367346938,0.0561224489795918,0.0943877551020408,0.0025510204081632,0.0153061224489795,0.1164910867810249,0.2501798570156097,0.3666709437966347,0,0.0,-1.0,-0.3666709437966347,1.0365027119248509,1.0007369993279327,1.0205289286920354,186.0,27.0,13.972602739726026,3.89247311827957,0.0377113133940182,4.852581295391566,0.0807315534416581,0.0,9.0,28.0,0.0105201976169718,0.5608108108108109,0.4391891891891892
8.0,cfk,3.0,-1.0,3.0,-3.0,-1.5796451210630589,0.0666666666666666,0.0333333333333333,0.1777777777777777,0.1555555555555555,0.0333333333333333,0.0333333333333333,0.0,0.0,0.0033024398144334,0.9341564178466796,0.9374588576611133,-1,-0.9374588576611133,-1.0,-0.9374588576611133,1.0956015658884997,0.8895456979482396,0.7497660476274909,57.0,9.0,14.475903614457838,2.8771929824561404,0.0394736842105263,6.351264078871864,0.0150097465886939,0.0,1.0,1.0,0.0256892230576441,0.4301075268817204,0.5698924731182796
9.0,cfk,2.0,-1.0,3.0,-3.0,-0.4737258894286198,0.040590405904059,0.0645756457564575,0.1273062730627306,0.1605166051660516,0.033210332103321,0.0977859778597785,0.0,0.0276752767527675,0.3887518942356109,0.028872761875391,0.4176246561110019,0,0.0,1.0,0.4176246561110019,0.94427849686876,0.8881425230323193,0.902117322384628,225.0,27.0,11.754945054945054,4.044444444444444,0.0287456445993031,4.551761829539023,0.0740126203214324,0.0,10.0,33.0,0.0090277777777777,0.6428571428571429,0.3571428571428571
10.0,cfk,4.0,-1.0,4.0,-4.0,-0.92846812021407,0.025,0.0916666666666666,0.1208333333333333,0.1708333333333333,0.0375,0.075,0.0083333333333333,0.0041666666666666,0.0166596267372369,0.2889151275157928,0.3055747542530298,0,0.0,-1.0,-0.3055747542530298,0.9834336302465464,0.9784963028512564,1.0043188507365397,116.0,19.0,13.534246575342465,3.7586206896551726,0.0205992509363295,4.926885387215244,0.0440569837051156,1.0,4.5,12.333333333333334,0.0163418290854572,0.5147058823529411,0.4852941176470588
