Sujetos,Condición,Tiempo,Recuerdo_autop,Valencia_autop,Intensidad_autop,ValeInt_autop,num_palabras_unicas_norm,primera_persona_norm,tercera_persona_norm,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm,Positivo pysent,Negativo pysent,Intensidad pysent,Valencia pysent,Valencia e intensidad pysent,Valencia2 pysent,Valencia e intensidad2 pysent,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_LSC,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density,Detalles internos norm,Detalles externos norm
29.0,presencial,2,4.0,1.0,4.0,4.0,0.5552199139234711,0.0119521912350597,0.0717131474103585,0.1713147410358565,0.1115537848605577,0.047808764940239,0.0756972111553784,0.0199203187250996,0.0836653386454183,0.0254470072686672,0.1583828181028366,0.1838298253715038,0,0.0,0.0,0.0,0.8236179552846575,0.799742393492358,0.7740342311548636,145.0,22.0,15.136752136752134,3.213793103448276,0.009009009009009,5.938235753621049,0.0153247358765298,0.0,3.0,6.0,0.0111590038314176,0.8440860215053764,0.1559139784946236
30.0,presencial,2,3.0,0.0,1.0,0.0,-1.3503725907154076,0.0364583333333333,0.0833333333333333,0.1510416666666666,0.0989583333333333,0.0572916666666666,0.1041666666666666,0.0260416666666666,0.046875,0.0802506953477859,0.0581766404211521,0.138427335768938,0,0.0,0.0,0.0,0.7902152764137091,0.7409010084074168,0.7659258392918784,105.0,17.0,13.909090909090914,3.3142857142857145,0.0241379310344827,5.581967660315852,0.0254699828649408,0.0,0.0,6.0,0.0159340659340659,0.6584821428571429,0.3415178571428571
31.0,presencial,2,2.0,0.0,1.0,0.0,-0.1702320327825644,0.0213523131672597,0.0676156583629893,0.1459074733096085,0.1352313167259786,0.0676156583629893,0.0604982206405693,0.0177935943060498,0.0320284697508896,0.1076753661036491,0.0803706049919128,0.1880459710955619,0,0.0,0.0,0.0,0.8780194059243897,0.8562697475352488,0.8663050990155371,147.0,21.0,13.563218390804598,3.5374149659863945,0.0194300518134715,5.2657687766129655,0.0384556830835342,0.0,1.0,9.0,0.0121144348150219,0.5713141025641025,0.4286858974358974
32.0,presencial,2,3.0,-1.0,4.0,-4.0,-0.5006516358818931,0.0506912442396313,0.0737327188940092,0.1290322580645161,0.1428571428571428,0.0552995391705069,0.1059907834101382,0.0,0.0276497695852534,0.0115200420841574,0.7143767476081848,0.7258967896923423,-1,-0.7258967896923423,-1.0,-0.7258967896923423,1.040150454460997,0.9407932219367514,0.9774441704881413,105.0,14.0,11.16161616161616,3.7714285714285714,0.0217391304347826,4.68663520121843,0.0504937057849935,1.0,3.5,13.333333333333334,0.0181318681318681,0.66701244813278,0.3329875518672199
33.0,presencial,2,2.0,1.0,3.0,3.0,-0.1925469598477549,0.0402684563758389,0.0201342281879194,0.1342281879194631,0.1409395973154362,0.0604026845637583,0.1342281879194631,0.0,0.0268456375838926,0.4419085383415222,0.0310718026012182,0.4729803409427404,0,0.0,1.0,0.4729803409427404,0.727637769907952,0.8615475780895249,0.7584044267146844,93.0,15.0,16.56164383561644,3.096774193548387,0.0301724137931034,6.095891211486767,0.0269804304908669,1.0,0.5,2.333333333333333,0.0168302945301542,0.5873493975903614,0.4126506024096386
34.0,presencial,2,2.0,0.0,3.0,0.0,0.2987768969558608,0.0319148936170212,0.0531914893617021,0.1648936170212765,0.1968085106382978,0.0425531914893617,0.0797872340425532,0.0159574468085106,0.0106382978723404,0.2008149772882461,0.0363929755985736,0.2372079528868198,0,0.0,0.0,0.0,1.0115570272107084,0.9546799858187508,1.026264944608547,114.0,19.0,18.97674418604651,3.017543859649123,0.0100671140939597,6.68492181266087,0.0030932648528786,0.0,2.0,0.0,0.0133519639807483,0.8228699551569507,0.1771300448430493
35.0,presencial,2,3.0,1.0,2.0,2.0,-0.8897953711957011,0.0476190476190476,0.073015873015873,0.1523809523809524,0.1396825396825396,0.0539682539682539,0.0793650793650793,0.0126984126984126,0.0095238095238095,0.0124197052791714,0.5274892449378967,0.5399089502170682,-1,-0.5399089502170682,-1.0,-0.5399089502170682,0.966148531072412,0.9463143724785416,0.926211020474424,145.0,25.0,12.746958637469584,3.7655172413793103,0.0295774647887323,4.923208783658224,0.0313708183670672,1.0,4.5,15.333333333333334,0.0130747126436781,0.5404109589041096,0.4595890410958904
36.0,presencial,2,3.0,1.0,4.0,4.0,0.2203785547152981,0.021108179419525,0.0527704485488126,0.1688654353562005,0.1477572559366754,0.0580474934036939,0.1319261213720316,0.0131926121372031,0.0316622691292876,0.2471154630184173,0.0227286722511053,0.2698441352695226,0,0.0,0.0,0.0,0.8642202465590411,0.9012109688097611,0.904995573094301,205.0,29.0,16.084033613445374,3.4829268292682927,0.0212765957446808,5.721940311275277,0.0432880520522612,1.0,6.5,7.333333333333333,0.0085365853658536,0.6906474820143885,0.3093525179856115
37.0,presencial,2,3.0,1.0,3.0,3.0,-0.1985716611696942,0.0326797385620915,0.0457516339869281,0.1143790849673202,0.1470588235294117,0.065359477124183,0.1045751633986928,0.0294117647058823,0.0163398692810457,0.3711258471012115,0.0598683841526508,0.4309942312538624,0,0.0,1.0,0.4309942312538624,0.9483320362180336,0.9075359305634344,0.8737663378126953,145.0,21.0,12.800000000000002,3.779310344827586,0.0328467153284671,4.901195999402302,0.0569594828481218,1.0,5.5,15.333333333333334,0.0131226053639846,0.5235294117647059,0.4764705882352941
38.0,presencial,2,3.0,1.0,4.0,4.0,-0.5662608259449379,0.0583941605839416,0.0328467153284671,0.1313868613138686,0.145985401459854,0.0510948905109489,0.0985401459854014,0.0036496350364963,0.0072992700729927,0.1475233733654022,0.0727948248386383,0.2203181982040405,0,0.0,0.0,0.0,0.9674119431076206,0.9714188935410352,0.987015331278349,143.0,21.0,13.125,3.5804195804195804,0.0257009345794392,4.954210988541656,0.0458528228416404,0.0,3.0,10.0,0.0126071111986604,0.6406779661016949,0.3593220338983051
