Sujetos,Condición,num_palabras_unicas_norm,primera_persona_norm,tercera_persona_norm,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm
1,campeones_del_mundo,0.6855411217340879,0.07,0.07,0.115,0.17,0.06,0.075,0.015,0.005
2,campeones_del_mundo,1.7046068944556283,0.03169014084507042,0.051056338028169015,0.15316901408450703,0.15845070422535212,0.03169014084507042,0.09859154929577464,0.022887323943661973,0.02464788732394366
3,campeones_del_mundo,1.5446033161206163,0.06824146981627296,0.07086614173228346,0.17060367454068243,0.12598425196850394,0.04199475065616798,0.08661417322834646,0.01837270341207349,0.026246719160104987
4,campeones_del_mundo,,0.051696284329563816,0.0791599353796446,0.1680129240710824,0.13651050080775445,0.061389337641357025,0.09289176090468497,0.0008077544426494346,0.021809369951534735
5,campeones_del_mundo,1.9758635649243261,0.0297029702970297,0.05799151343705799,0.16548797736916548,0.13154172560113153,0.039603960396039604,0.08203677510608204,0.011315417256011316,0.0297029702970297
6,campeones_del_mundo,1.629330082704105,0.04853273137697517,0.06997742663656885,0.16478555304740405,0.12415349887133183,0.04740406320541761,0.09255079006772009,0.009029345372460496,0.016930022573363433
7,campeones_del_mundo,1.7137912832045867,0.04024390243902439,0.07073170731707316,0.11829268292682926,0.16829268292682928,0.036585365853658534,0.09390243902439024,0.01097560975609756,0.04390243902439024
8,campeones_del_mundo,1.2853755886683953,0.06451612903225806,0.05017921146953405,0.16487455197132617,0.17562724014336917,0.05734767025089606,0.02867383512544803,0.0,0.014336917562724014
9,campeones_del_mundo,1.7206285143463549,0.038461538461538464,0.08076923076923077,0.15096153846153845,0.15576923076923077,0.04423076923076923,0.06057692307692308,0.016346153846153847,0.04326923076923077
10,campeones_del_mundo,1.5432639638496455,0.03012912482065997,0.058823529411764705,0.15064562410329985,0.14777618364418937,0.04160688665710186,0.08321377331420372,0.01291248206599713,0.028694404591104734
11,campeones_del_mundo,1.6191500585306864,0.05106382978723404,0.06808510638297872,0.16382978723404254,0.13404255319148936,0.02553191489361702,0.07234042553191489,0.00851063829787234,0.02553191489361702
12,campeones_del_mundo,1.9017095105597133,0.04105571847507331,0.05571847507331378,0.1436950146627566,0.16715542521994134,0.05278592375366569,0.08504398826979472,0.005865102639296188,0.05865102639296188
13,campeones_del_mundo,1.5637503640627468,0.03343465045592705,0.08206686930091185,0.16109422492401215,0.1337386018237082,0.04559270516717325,0.0911854103343465,0.00911854103343465,0.060790273556231005
14,campeones_del_mundo,1.9229022149442645,0.06725146198830409,0.049707602339181284,0.14327485380116958,0.16666666666666666,0.029239766081871343,0.08187134502923976,0.0029239766081871343,0.011695906432748537
15,campeones_del_mundo,1.9043591761481893,0.038338658146964855,0.051118210862619806,0.14217252396166133,0.1869009584664537,0.0463258785942492,0.08306709265175719,0.022364217252396165,0.025559105431309903
16,campeones_del_mundo,0.9155837759558929,0.03202846975088968,0.046263345195729534,0.19217081850533807,0.12455516014234876,0.06761565836298933,0.099644128113879,0.0035587188612099642,0.014234875444839857
17,campeones_del_mundo,1.9049315334494707,0.041811846689895474,0.0545876887340302,0.13356562137049943,0.19047619047619047,0.029036004645760744,0.11265969802555169,0.005807200929152149,0.047619047619047616
18,campeones_del_mundo,1.7753231793543862,0.0253592561284869,0.0676246830092984,0.13102282333051563,0.16398985629754861,0.032121724429416736,0.09974640743871513,0.015215553677092139,0.04649196956889264
19,campeones_del_mundo,1.0109716094273555,0.04059040590405904,0.02952029520295203,0.16974169741697417,0.14760147601476015,0.05166051660516605,0.0996309963099631,0.0,0.007380073800738007
20,campeones_del_mundo,1.8265387385336835,0.043726235741444866,0.058935361216730035,0.1596958174904943,0.11406844106463879,0.051330798479087454,0.09125475285171103,0.0076045627376425855,0.03231939163498099
21,campeones_del_mundo,1.699060568721878,0.042735042735042736,0.05128205128205128,0.13846153846153847,0.1606837606837607,0.02905982905982906,0.11794871794871795,0.006837606837606838,0.03418803418803419
22,campeones_del_mundo,,0.021116138763197588,0.06334841628959276,0.17647058823529413,0.13675213675213677,0.06133735545500251,0.0824534942182001,0.01860231271995978,0.04474610356963298
23,campeones_del_mundo,1.6558952507373979,0.011834319526627219,0.05029585798816568,0.17455621301775148,0.11834319526627218,0.05029585798816568,0.10355029585798817,0.011834319526627219,0.026627218934911243
24,campeones_del_mundo,1.8025280603944482,0.042279411764705885,0.06801470588235294,0.16911764705882354,0.1213235294117647,0.04044117647058824,0.08088235294117647,0.009191176470588236,0.02022058823529412
25,campeones_del_mundo,1.3090366535394555,0.057356608478802994,0.059850374064837904,0.1396508728179551,0.14463840399002495,0.05236907730673317,0.08478802992518704,0.0024937655860349127,0.007481296758104738
