Sujetos,Condición,num_palabras_unicas_norm,primera_persona_norm,tercera_persona_norm,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm
1,antesdevenir,-1.1601465137038411,0.0625,0.05357142857142857,0.11607142857142858,0.20535714285714285,0.026785714285714284,0.08928571428571429,0.026785714285714284,0.008928571428571428
2,antesdevenir,-0.7136935440454362,0.03496503496503497,0.06993006993006994,0.15384615384615385,0.21678321678321677,0.03496503496503497,0.1048951048951049,0.027972027972027972,0.006993006993006993
3,antesdevenir,-1.295473749004388,0.058333333333333334,0.06666666666666667,0.175,0.2,0.016666666666666666,0.09166666666666666,0.025,0.016666666666666666
4,antesdevenir,,0.015384615384615385,0.09487179487179487,0.2205128205128205,0.13076923076923078,0.06153846153846154,0.05897435897435897,0.03076923076923077,0.023076923076923078
5,antesdevenir,-0.20699523061111988,0.06716417910447761,0.04477611940298507,0.14925373134328357,0.17164179104477612,0.04477611940298507,0.10074626865671642,0.014925373134328358,0.022388059701492536
6,antesdevenir,-0.674435812922601,0.01195219123505976,0.07171314741035857,0.14741035856573706,0.16733067729083664,0.09163346613545817,0.05976095617529881,0.00796812749003984,0.01593625498007968
7,antesdevenir,,0.05864197530864197,0.07098765432098765,0.1419753086419753,0.2021604938271605,0.016975308641975308,0.06481481481481481,0.016975308641975308,0.026234567901234566
8,antesdevenir,-1.0516709361832326,0.0,0.056074766355140186,0.16822429906542055,0.19626168224299065,0.018691588785046728,0.028037383177570093,0.009345794392523364,0.009345794392523364
9,antesdevenir,-0.5671877928177734,0.03485254691689008,0.05361930294906166,0.15281501340482573,0.14209115281501342,0.021447721179624665,0.08847184986595175,0.04825737265415549,0.07506702412868632
10,antesdevenir,-1.2255331477629536,0.08888888888888889,0.05,0.14444444444444443,0.17777777777777778,0.027777777777777776,0.08333333333333333,0.016666666666666666,0.022222222222222223
11,antesdevenir,-0.07898292968442373,0.056910569105691054,0.04065040650406504,0.17479674796747968,0.13414634146341464,0.024390243902439025,0.10569105691056911,0.028455284552845527,0.012195121951219513
12,antesdevenir,-0.5908223722127263,0.03409090909090909,0.06818181818181818,0.18181818181818182,0.1590909090909091,0.011363636363636364,0.06818181818181818,0.011363636363636364,0.06818181818181818
13,antesdevenir,-0.9792417328354092,0.0603448275862069,0.0603448275862069,0.19827586206896552,0.15517241379310345,0.017241379310344827,0.02586206896551724,0.0,0.09482758620689655
14,antesdevenir,-0.5393506212648549,0.026490066225165563,0.0728476821192053,0.1456953642384106,0.18543046357615894,0.019867549668874173,0.09933774834437085,0.033112582781456956,0.026490066225165563
15,antesdevenir,-0.9457021759103255,0.05405405405405406,0.05405405405405406,0.18018018018018017,0.14414414414414414,0.02702702702702703,0.08108108108108109,0.009009009009009009,0.036036036036036036
16,antesdevenir,-1.9015970731391623,0.035398230088495575,0.07079646017699115,0.13274336283185842,0.1592920353982301,0.07964601769911504,0.07079646017699115,0.017699115044247787,0.02654867256637168
17,antesdevenir,-0.7589568906355413,0.11551155115511551,0.07590759075907591,0.13861386138613863,0.22772277227722773,0.0231023102310231,0.07590759075907591,0.0231023102310231,0.0165016501650165
18,antesdevenir,-1.115684750328215,0.021929824561403508,0.08771929824561403,0.14035087719298245,0.14035087719298245,0.043859649122807015,0.10087719298245613,0.008771929824561403,0.043859649122807015
19,antesdevenir,0.8954319969213721,0.045662100456621,0.0547945205479452,0.1232876712328767,0.182648401826484,0.0319634703196347,0.0684931506849315,0.0502283105022831,0.0273972602739726
20,antesdevenir,-0.48553561404059914,0.049019607843137254,0.05392156862745098,0.1568627450980392,0.22058823529411764,0.024509803921568627,0.08823529411764706,0.0,0.03431372549019608
21,antesdevenir,0.18397471126287845,0.04744525547445255,0.04744525547445255,0.15328467153284672,0.1678832116788321,0.051094890510948905,0.10218978102189781,0.025547445255474453,0.01824817518248175
22,antesdevenir,,0.04436860068259386,0.06484641638225255,0.16552901023890784,0.13310580204778158,0.05802047781569966,0.09726962457337884,0.017064846416382253,0.032423208191126277
23,antesdevenir,-1.394438105884124,0.008620689655172414,0.06896551724137931,0.12931034482758622,0.1896551724137931,0.034482758620689655,0.11206896551724138,0.008620689655172414,0.0
