Sujetos,Condición,num_palabras_unicas_norm,primera_persona_norm,tercera_persona_norm,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm,Positivo pysent,Negativo pysent,Intensidad pysent,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_LSC,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density,Detalles internos norm,Detalles externos norm
1,presencial,1.5820179732325106,0.0218181818181818,0.04,0.16,0.1309090909090909,0.0545454545454545,0.0945454545454545,0.0072727272727272,0.0436363636363636,0.0239270534366369,0.4713758528232574,0.4953029062598943,0.9786396981761408,0.9338263297449556,0.923305419195088,150.0,23.0,16.242248062015502,3.4266666666666667,0.014367816091954,5.641361631581905,0.0294271212660107,0.0,4.0,6.0,0.0114988814317673,0.7672697368421053,0.2327302631578947
2,presencial,0.5839310814917203,0.0227272727272727,0.0710227272727272,0.1278409090909091,0.1590909090909091,0.0568181818181818,0.0681818181818181,0.0227272727272727,0.034090909090909,0.0269385147839784,0.0632746741175651,0.0902131889015436,0.9718501995304232,0.9126150477272228,0.8601034516183282,171.0,22.0,15.469135802469136,3.789473684210526,0.0220883534136546,5.309443149146067,0.0503079247491555,1.0,2.5,16.333333333333332,0.0111455108359133,0.6521739130434783,0.3478260869565217
3,presencial,-0.4982591342324569,0.0212765957446808,0.0585106382978723,0.1436170212765957,0.1223404255319148,0.0691489361702127,0.1117021276595744,0.0106382978723404,0.0212765957446808,0.5202295184135437,0.0500067062675952,0.570236224681139,0.9319689259549644,0.9158521888342142,0.8642847927634046,111.0,18.0,13.07865168539326,3.189189189189189,0.015432098765432,5.699282224001416,0.0167090299056243,0.0,3.0,2.0,0.0144963144963144,0.4052132701421801,0.5947867298578199
4,presencial,-1.1174093959769016,0.0123152709359605,0.105911330049261,0.1699507389162561,0.1009852216748768,0.0591133004926108,0.0935960591133004,0.0369458128078817,0.041871921182266,0.1974261850118637,0.0168718975037336,0.2142980825155973,1.09465755244731,1.0056131636961871,0.9543827051593704,193.0,26.0,12.218918918918922,3.8341968911917097,0.0198863636363636,5.054869656735242,0.0501527627124899,2.0,5.0,15.666666666666666,0.0099848877374784,0.6041162227602905,0.3958837772397094
5,presencial,-0.6398034400707342,0.0401459854014598,0.0510948905109489,0.1277372262773722,0.156934306569343,0.0510948905109489,0.0912408759124087,0.010948905109489,0.0328467153284671,0.0086536183953285,0.3110295236110687,0.3196831420063972,0.9374176598141822,0.8054319773743025,0.8401420344313999,131.0,18.0,12.244836601307188,3.862595419847328,0.0123839009287925,4.829660737107766,0.0148533587894396,0.0,2.0,5.0,0.014856136230182,0.5047169811320755,0.4952830188679245
6,presencial,0.277119665705821,0.0407407407407407,0.0425925925925925,0.1722222222222222,0.124074074074074,0.0444444444444444,0.0796296296296296,0.0111111111111111,0.0203703703703703,0.0117708425968885,0.713151752948761,0.7249225955456495,1.030833924135404,1.0415209743549945,1.0295359490273917,221.0,26.0,11.541489361702128,4.253393665158371,0.0229885057471264,4.585017059255828,0.0476785960107055,1.0,8.5,20.33333333333333,0.0096668037844508,0.699468085106383,0.300531914893617
7,presencial,-0.8455842836284104,0.0186567164179104,0.085820895522388,0.1455223880597015,0.0970149253731343,0.0597014925373134,0.0820895522388059,0.0373134328358208,0.0149253731343283,0.0545335188508033,0.2864859402179718,0.3410194590687752,0.9667462578551902,0.9294683697838624,0.8401320253275578,131.0,20.0,16.93939393939394,3.5114503816793894,0.0293367346938775,5.332003238491833,0.0532875834083757,1.0,3.5,8.333333333333334,0.0135055783910745,0.8120567375886525,0.1879432624113475
8,presencial,0.5550485496522615,0.0555555555555555,0.0324074074074074,0.1944444444444444,0.1898148148148148,0.0231481481481481,0.074074074074074,0.0231481481481481,0.0046296296296296,0.2540715038776397,0.1115328595042228,0.3656043633818626,0.8203431717039308,0.7978112637798133,0.8327451047359544,119.0,17.0,13.573232323232324,3.327731092436975,0.0076530612244897,5.290912076180861,0.0295300952041909,0.0,2.0,7.0,0.0141005554764278,0.968181818181818,0.0318181818181818
9,presencial,0.0553989568441857,0.056390977443609,0.0695488721804511,0.1560150375939849,0.1466165413533834,0.0526315789473684,0.0526315789473684,0.0244360902255639,0.0469924812030075,0.0225979853421449,0.3615902662277221,0.3841882515698671,0.8848265602177168,0.8492454485503081,0.8736123368129655,244.0,34.0,15.944384835479251,3.8114754098360657,0.017094017094017,5.4177248022040985,0.0388047566667092,2.0,7.0,28.666666666666668,0.0078425419955474,0.6787190082644629,0.3212809917355372
10,presencial,-0.314146131410772,0.0261282660332541,0.0712589073634204,0.1543942992874109,0.1211401425178147,0.0546318289786223,0.0665083135391924,0.01187648456057,0.0261282660332541,0.026730902493,0.1656090915203094,0.1923399940133094,0.9619662311989912,0.9324340874677708,0.9705142739181454,197.0,27.0,12.048257372654156,3.786802030456853,0.0194986072423398,4.822882424972208,0.0484375795849876,1.0,8.5,22.33333333333333,0.0096602092613695,0.860236220472441,0.139763779527559
