Sujetos,Condición,Recuerdo_autop,Valencia_autop,Intensidad_autop,ValeInt_autop,num_palabras_unicas_norm,primera_persona_norm,tercera_persona_norm,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm,Positivo pysent,Negativo pysent,Intensidad pysent,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_LSC,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density,Detalles internos norm,Detalles externos norm
1,cfk,2.0,-1.0,1.0,-1.0,-0.7382750541751716,0.0387596899224806,0.0930232558139534,0.1472868217054263,0.1317829457364341,0.0232558139534883,0.1240310077519379,0.0,0.0,0.0166240446269512,0.4034367799758911,0.4200608246028423,1.0216834205987555,1.022374042788776,1.1423829869609277,74.0,13.0,12.099999999999998,3.2432432432432434,0.0053763440860215,5.1181630260397,0.0112959112959112,0.0,2.0,2.0,0.0222139948167345,0.5971074380165289,0.402892561983471
2,cfk,2.0,0.0,2.0,0.0,-0.7431850128076443,0.0289855072463768,0.0821256038647343,0.144927536231884,0.1400966183574879,0.0096618357487922,0.0966183574879227,0.0,0.0338164251207729,0.0254290346056222,0.2024950385093689,0.2279240731149912,0.98395882239834,0.9107010642284032,1.008535975883593,97.0,13.0,12.166666666666666,3.690721649484536,0.0277777777777777,4.701514644016253,0.0525226333622969,1.0,2.5,9.333333333333334,0.0192225085910652,0.5907172995780591,0.4092827004219409
3,cfk,3.0,0.0,3.0,0.0,0.6975627879254396,0.0436241610738255,0.0771812080536912,0.1812080536912751,0.1375838926174496,0.0302013422818791,0.087248322147651,0.0167785234899328,0.0067114093959731,0.0166036523878574,0.7175487875938416,0.734152439981699,1.0034768991475365,1.0132309984013388,0.9876536516775254,148.0,21.0,17.643678160919542,3.527027027027027,0.0176282051282051,5.565610708057383,0.0494938444666705,0.0,2.0,13.0,0.0119966905681191,0.7768987341772152,0.2231012658227848
4,cfk,3.0,0.0,4.0,0.0,-0.2021252491016237,0.0465116279069767,0.089922480620155,0.1720930232558139,0.117829457364341,0.0387596899224806,0.0976744186046511,0.0077519379844961,0.0201550387596899,0.0287892464548349,0.1633449345827102,0.1921341810375452,0.9680434598874752,0.9039275523787206,0.867820074661477,268.0,35.0,15.879496402877692,4.149253731343284,0.020684168655529,4.68040482254515,0.0379831931266795,0.0,6.0,27.0,0.0077701380736765,0.5804115853658537,0.4195884146341463
5,cfk,1.0,0.0,2.0,0.0,-0.6209856918333596,0.0416666666666666,0.0375,0.1291666666666666,0.1208333333333333,0.0291666666666666,0.1375,0.0083333333333333,0.0166666666666666,0.0835839882493019,0.2085214555263519,0.2921054437756538,0.9842899803929028,0.8975279354822486,0.9372747345062256,118.0,16.0,14.458525345622114,3.6440677966101696,0.0169491525423728,5.116484562356132,0.0352395835126704,1.0,2.5,10.333333333333334,0.0155729393017528,0.6387931034482759,0.3612068965517241
6,cfk,3.0,0.0,2.0,0.0,0.1101801080517119,0.0392156862745098,0.0392156862745098,0.1416122004357298,0.1372549019607843,0.0435729847494553,0.0849673202614379,0.0,0.0392156862745098,0.0084666702896356,0.7558188438415527,0.7642855141311884,0.9188096497467304,0.9297773639335004,0.9265774087121578,192.0,22.0,13.262867647058826,4.25,0.0343468468468468,4.662184414219077,0.06453031725213,3.0,10.5,33.0,0.0111256544502617,0.7016632016632016,0.2983367983367983
7,cfk,2.0,-1.0,3.0,-3.0,-0.8933574069972472,0.0319148936170212,0.0851063829787234,0.1134751773049645,0.1170212765957446,0.0638297872340425,0.0744680851063829,0.0035460992907801,0.0106382978723404,0.0064716474153101,0.7870644927024841,0.7935361401177943,0.9968488557107026,1.0072878760333817,0.997458238679742,140.0,19.0,13.885057471264371,3.7285714285714286,0.0334987593052109,4.833166767078738,0.0721723812764185,1.0,2.5,23.33333333333333,0.0134121274409044,0.6792452830188679,0.320754716981132
8,cfk,1.0,-1.0,5.0,-5.0,-1.2951132825219438,0.056910569105691,0.048780487804878,0.2276422764227642,0.1382113821138211,0.024390243902439,0.073170731707317,0.0,0.0,0.0156185291707515,0.3555334210395813,0.3711519502103328,0.8987851357903661,0.8712440875061793,0.7202832029573913,68.0,12.0,15.362831858407084,3.235294117647059,0.0147058823529411,5.585356662807706,0.0317945126768656,0.0,0.0,5.0,0.0241439859525899,0.7205882352941176,0.2794117647058823
9,cfk,2.0,0.0,2.0,0.0,-0.8395072691003546,0.0428571428571428,0.0952380952380952,0.1380952380952381,0.1523809523809524,0.0333333333333333,0.0833333333333333,0.0,0.0333333333333333,0.0127679985016584,0.4706475436687469,0.4834155421704054,0.8825717254561287,0.9324436383240045,0.8405068317232474,185.0,28.0,13.205431754874652,3.881081081081081,0.027027027027027,4.818631393912227,0.0461961502651843,0.0,7.0,20.0,0.0105464159811985,0.7365470852017937,0.2634529147982062
10,cfk,2.0,-1.0,3.0,-3.0,-0.616937583372962,0.0262626262626262,0.0909090909090909,0.1232323232323232,0.1414141414141414,0.0383838383838383,0.0565656565656565,0.0121212121212121,0.0141414141414141,0.0074920356273651,0.7993025779724121,0.8067946135997772,0.978648598219411,1.006544472784028,0.946586502274588,177.0,22.0,11.19625,4.519774011299435,0.0326192794547224,4.115206494111113,0.0810308342363135,0.0,8.0,33.0,0.0128402670775552,0.8164556962025317,0.1835443037974683
