Sujetos,Condición,Detalles internos norm,Detalles externos norm
1,presencial,0.7672697368421053,0.23273026315789475
2,presencial,0.6521739130434783,0.34782608695652173
3,presencial,0.4052132701421801,0.5947867298578199
4,presencial,0.6041162227602905,0.39588377723970947
5,presencial,0.5047169811320755,0.49528301886792453
6,presencial,0.699468085106383,0.300531914893617
7,presencial,0.8120567375886525,0.1879432624113475
8,presencial,0.9681818181818181,0.031818181818181815
9,presencial,0.6787190082644629,0.3212809917355372
10,presencial,0.860236220472441,0.13976377952755906
11,presencial,0.6281512605042017,0.37184873949579833
12,presencial,0.46551724137931033,0.5344827586206896
13,presencial,0.8800448430493274,0.11995515695067265
14,presencial,0.7976973684210527,0.20230263157894737
15,presencial,0.7045454545454546,0.29545454545454547
16,presencial,0.6024590163934426,0.3975409836065574
17,presencial,0.6365740740740741,0.36342592592592593
18,presencial,0.3997194950911641,0.6002805049088359
19,presencial,0.6,0.4
20,presencial,0.6973684210526315,0.3026315789473684
21,presencial,0.6574754901960784,0.3425245098039216
22,presencial,0.7524449877750611,0.24755501222493886
23,presencial,0.6304347826086957,0.3695652173913043
24,presencial,0.5,0.5
25,presencial,0.563301282051282,0.43669871794871795
26,presencial,0.5679611650485437,0.4320388349514563
27,presencial,0.5555555555555556,0.4444444444444444
28,presencial,0.6036209553158706,0.39637904468412943
29,presencial,0.855,0.145
30,presencial,0.6237864077669902,0.3762135922330097
31,presencial,0.5179083094555874,0.4820916905444126
33,presencial,0.7681159420289855,0.2318840579710145
34,presencial,0.616504854368932,0.38349514563106796
35,presencial,0.10857142857142857,0.8914285714285715
36,presencial,0.6440092165898618,0.35599078341013823
37,presencial,0.6490267639902676,0.35097323600973235
38,presencial,0.7370820668693009,0.2629179331306991
39,presencial,0.4904,0.5096
40,presencial,0.6758595988538681,0.3241404011461318
41,presencial,0.613556338028169,0.386443661971831
42,presencial,0.7327380952380952,0.26726190476190476
43,presencial,0.7325227963525835,0.2674772036474164
44,presencial,0.4673507462686567,0.5326492537313433
45,presencial,0.5958549222797928,0.40414507772020725
46,presencial,0.4888475836431227,0.5111524163568774
47,presencial,0.5326633165829145,0.46733668341708545
48,presencial,0.4094488188976378,0.5905511811023622
49,presencial,0.6387867647058824,0.36121323529411764
50,presencial,0.8416458852867831,0.15835411471321695
51,presencial,0.5993723849372385,0.4006276150627615
52,presencial,0.45484581497797355,0.5451541850220264
53,presencial,0.6868932038834952,0.3131067961165049
54,presencial,0.7172131147540983,0.2827868852459016
55,presencial,0.572289156626506,0.42771084337349397
56,presencial,0.7376373626373627,0.2623626373626374
57,presencial,0.6957070707070707,0.3042929292929293
58,presencial,0.7432885906040269,0.25671140939597314
59,presencial,0.5431769722814499,0.4568230277185501
60,presencial,0.791083916083916,0.2089160839160839
62,presencial,0.5213815789473685,0.4786184210526316
63,presencial,0.31794871794871793,0.6820512820512821
64,presencial,0.6718978102189781,0.3281021897810219
65,presencial,0.7857142857142857,0.21428571428571427
