Sujetos,Condición,Detalles internos norm,Detalles externos norm
1,campeones_del_mundo,0.825,0.175
2,campeones_del_mundo,0.8582775919732442,0.14172240802675584
3,campeones_del_mundo,0.8737684729064039,0.12623152709359606
4,campeones_del_mundo,0.7804263565891473,0.21957364341085273
5,campeones_del_mundo,0.7237171464330413,0.2762828535669587
6,campeones_del_mundo,0.7684119677790564,0.23158803222094362
7,campeones_del_mundo,0.8374269005847953,0.16257309941520467
8,campeones_del_mundo,0.9666064981949458,0.033393501805054154
9,campeones_del_mundo,0.8627819548872181,0.13721804511278196
10,campeones_del_mundo,0.849721059972106,0.150278940027894
11,campeones_del_mundo,0.8581560283687943,0.14184397163120568
12,campeones_del_mundo,0.8922764227642277,0.10772357723577236
13,campeones_del_mundo,0.8819241982507289,0.11807580174927114
14,campeones_del_mundo,0.8013513513513514,0.19864864864864865
15,campeones_del_mundo,0.9057719054242003,0.09422809457579973
16,campeones_del_mundo,0.6588050314465409,0.3411949685534591
17,campeones_del_mundo,0.8780295047418335,0.12197049525816649
18,campeones_del_mundo,0.6844331641285956,0.3155668358714044
19,campeones_del_mundo,0.8725961538461539,0.12740384615384615
20,campeones_del_mundo,0.8032490974729242,0.1967509025270758
21,campeones_del_mundo,0.6656151419558359,0.334384858044164
22,campeones_del_mundo,0.7958515283842795,0.20414847161572053
23,campeones_del_mundo,0.7403846153846154,0.25961538461538464
24,campeones_del_mundo,0.7782861896838602,0.22171381031613976
25,campeones_del_mundo,0.7096774193548387,0.2903225806451613
26,campeones_del_mundo,0.7106796116504854,0.28932038834951457
27,campeones_del_mundo,0.8636363636363636,0.13636363636363635
28,campeones_del_mundo,0.7358247422680413,0.26417525773195877
29,campeones_del_mundo,0.9019114688128773,0.09808853118712274
30,campeones_del_mundo,0.7078384798099763,0.2921615201900237
31,campeones_del_mundo,0.7398648648648649,0.26013513513513514
32,campeones_del_mundo,0.8462099125364432,0.15379008746355685
33,campeones_del_mundo,0.8143872113676732,0.18561278863232683
34,campeones_del_mundo,0.8234567901234567,0.1765432098765432
35,campeones_del_mundo,0.6986506746626686,0.30134932533733133
36,campeones_del_mundo,0.8070921985815603,0.19290780141843972
37,campeones_del_mundo,0.6155097613882863,0.38449023861171366
38,campeones_del_mundo,0.821256038647343,0.178743961352657
39,campeones_del_mundo,0.7867132867132867,0.21328671328671328
40,campeones_del_mundo,0.7827834179357022,0.2172165820642978
41,campeones_del_mundo,0.7517146776406035,0.24828532235939643
42,campeones_del_mundo,0.8714788732394366,0.12852112676056338
43,campeones_del_mundo,0.8058312655086849,0.19416873449131514
44,campeones_del_mundo,0.5479002624671916,0.4520997375328084
45,campeones_del_mundo,0.7538870703764321,0.24611292962356793
46,campeones_del_mundo,0.7789608177172062,0.22103918228279387
47,campeones_del_mundo,0.6854508196721312,0.3145491803278688
48,campeones_del_mundo,0.863275039745628,0.13672496025437203
49,campeones_del_mundo,0.8625204582651391,0.13747954173486088
50,campeones_del_mundo,0.771680216802168,0.22831978319783197
51,campeones_del_mundo,0.8336909871244635,0.16630901287553648
52,campeones_del_mundo,0.650390625,0.349609375
53,campeones_del_mundo,0.7436643835616439,0.2563356164383562
54,campeones_del_mundo,0.75,0.25
55,campeones_del_mundo,0.5094859241126071,0.4905140758873929
56,campeones_del_mundo,0.8512987012987013,0.1487012987012987
57,campeones_del_mundo,0.7837150127226463,0.21628498727735368
58,campeones_del_mundo,0.822,0.178
59,campeones_del_mundo,0.7865583456425406,0.21344165435745938
60,campeones_del_mundo,0.7666925465838509,0.23330745341614906
61,campeones_del_mundo,0.9251700680272109,0.07482993197278912
62,campeones_del_mundo,0.8172110552763819,0.1827889447236181
63,campeones_del_mundo,0.6871609403254972,0.3128390596745027
64,campeones_del_mundo,0.8341049382716049,0.16589506172839505
65,campeones_del_mundo,0.791497975708502,0.20850202429149797
