Sujetos,Condición,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_LSC,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density
1.0,cfk,0.8761715416939485,0.8127706999674937,0.8693822812762186,86,14,15.428571428571423,3.0,0.016853932584269662,6.303928082861062,0.03479279118814003,0,3.0,4.0,0.01764705882352941
2.0,cfk,0.6928152672705691,0.8530181843918602,0.8241647340313107,62,11,12.83251633986928,3.2580645161290325,0.04861111111111111,5.538654246292218,0.026330121491411812,2,1.0,2.6666666666666665,0.026705446853516657
3.0,cfk,0.9238859408749588,0.8915851327945479,0.9476207893859034,147,22,14.763565891472865,3.510204081632653,0.008728179551122194,4.976753652329982,0.02481657155037742,0,1.0,8.0,0.012021246854906346
4.0,cfk,0.9319864640167589,0.9470229521640089,0.9343089770654451,273,37,15.63669064748202,4.073260073260073,0.01903553299492386,4.780533507907676,0.040715033114084614,0,7.0,28.0,0.0074876104287869
5.0,cfk,0.9846207932077966,1.0257818020782126,0.9331202059552927,84,15,12.688564476885647,3.261904761904762,0.014150943396226415,5.370436734773589,0.027552407909550766,0,0.0,3.0,0.019650028686173264
6.0,cfk,0.9269302275642987,0.955272124122636,0.8696559053670541,107,19,13.068681318681318,3.383177570093458,0.03588516746411483,5.3946329988120505,0.05094573131956309,0,3.0,8.0,0.01595838476459178
7.0,cfk,1.0365027119248507,1.0007369993279327,1.0205289286920354,186,27,13.972602739726026,3.89247311827957,0.0377113133940182,4.852581295391566,0.08073155344165814,0,9.0,28.0,0.01052019761697181
8.0,cfk,1.0956015658884997,0.8895456979482396,0.7497660476274909,57,9,14.475903614457838,2.8771929824561404,0.039473684210526314,6.351264078871864,0.015009746588693956,0,1.0,1.0,0.02568922305764411
9.0,cfk,0.9442784968687599,0.8881425230323193,0.902117322384628,225,27,11.754945054945054,4.044444444444444,0.028745644599303136,4.551761829539023,0.07401262032143242,0,10.0,33.0,0.009027777777777777
10.0,cfk,0.9834336302465464,0.9784963028512563,1.0043188507365397,116,19,13.534246575342463,3.7586206896551726,0.020599250936329586,4.926885387215244,0.04405698370511563,1,4.5,12.333333333333334,0.016341829085457272
11.0,cfk,0.9239069634340251,0.9383888702280462,0.9093414860219186,82,13,14.099999999999998,3.1463414634146343,0.01834862385321101,5.644506983531374,0.02709381855723319,0,2.0,5.0,0.01942186088527552
12.0,cfk,1.0728937442993112,1.0378765068090785,0.9882957395347507,101,16,12.2744014732965,3.5643564356435644,0.03333333333333333,4.93846685082871,0.039931422036838464,1,3.5,6.333333333333333,0.01782178217821782
13.0,cfk,0.8383154410680151,0.941405787051137,0.9665212659121001,59,9,14.1,3.016949152542373,0.018867924528301886,5.796280061475816,0.05035853976531943,0,0.0,3.0,0.026008182349503216
14.0,cfk,0.9288953204078501,0.9112202901491014,0.9281649830814107,101,16,16.636363636363637,3.2475247524752477,0.03571428571428571,6.1918660366036535,0.0364348126707972,0,4.0,3.0,0.016237623762376238
15.0,cfk,0.9966015323268204,0.9019147059027693,0.9052302550768434,89,14,16.392857142857146,3.1235955056179776,0.021929824561403508,5.632637622209117,0.036821457667111125,0,2.0,3.0,0.017747701736465782
16.0,cfk,1.0393721291054445,1.0012256437938796,0.9895064190752274,120,19,13.223300970873789,3.4166666666666665,0.015151515151515152,5.183312511898248,0.03371711930283912,0,3.0,7.0,0.014355742296918767
17.0,cfk,1.0232911169868146,0.9918589930378998,0.9804601654958756,163,19,14.844166666666663,3.914110429447853,0.01838235294117647,4.895558699569608,0.05185085770503297,0,8.0,19.0,0.012080587745209422
18.0,cfk,1.0040777332325521,0.9205194854017977,0.8882891059535396,178,23,13.637811634349031,4.056179775280899,0.03543307086614173,4.695162300059313,0.07377393428732587,0,3.0,19.0,0.011458134958420619
19.0,cfk,0.7150851028414879,0.6003726526735613,0.5935651063284635,44,6,13.333333333333336,3.1818181818181817,0.05,5.140100646160181,0.03790792540792541,1,0.5,2.3333333333333335,0.03699788583509514
20.0,cfk,1.0417440426202573,1.0430464392778522,1.0749374473176994,99,16,15.65568400770713,3.4545454545454546,0.03067484662576687,5.539500516152013,0.031521467573160974,0,1.0,7.0,0.017625231910946195
21.0,cfk,0.9131175103223487,0.9291616201370523,0.8310810778762091,140,19,14.039548022598872,4.185714285714286,0.02971311475409836,4.972245690130881,0.03379691546231288,2,6.0,16.666666666666668,0.015056526207605345
22.0,cfk,0.9292884410611885,0.8038754475426034,0.8897893205694819,86,13,17.202546296296294,3.3255813953488373,0.04,5.916751532654383,0.03364542434309876,2,2.0,2.6666666666666665,0.019562243502051983
23.0,cfk,1.0161285746619788,1.0151578991351284,0.9888227316504395,146,19,16.007352941176467,3.712328767123288,0.04024144869215292,5.169628407869935,0.07805166424422119,0,5.0,23.0,0.012801133679735476
24.0,cfk,0.9812663163917412,1.0725808594370212,1.0116061101077025,182,27,12.9375,3.857142857142857,0.04207573632538569,4.817979327302532,0.054865740378627646,0,9.0,33.0,0.010655090765588003
25.0,cfk,0.9212688032764798,0.987524267171748,1.0984292031215324,69,11,17.377777777777773,3.0144927536231885,0.017241379310344827,5.788768115942003,0.03167112995488282,0,1.0,3.0,0.02216538789428815
26.0,cfk,0.9295233745779365,0.7985604817115577,0.817234883111242,102,13,12.875000000000002,3.607843137254902,0.018604651162790697,4.879134117056331,0.03376006686879023,0,1.0,8.0,0.0178606095903708
27.0,cfk,0.9415451892511902,0.8882335062481482,0.8897600428462304,86,12,15.612482853223591,3.744186046511628,0.028901734104046242,4.954446527390892,0.05388763841679198,1,2.5,9.333333333333334,0.022024623803009576
28.0,cfk,0.9655628366960877,0.9971477222288303,0.9402057041662233,96,16,11.90521978021978,3.75,0.0311284046692607,4.6941965289826735,0.05072641179861007,0,2.0,9.0,0.019736842105263157
