Sujetos,Condición,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_LSC,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density
1.0,campeones_del_mundo,0.8731671262344066,0.8755404385623172,0.9607968998439617,137,21,14.99342105263158,3.3138686131386863,0.027083333333333334,5.716481925078914,0.04596762153886876,0,1.0,7.0,0.012183340489480464
2.0,campeones_del_mundo,0.9129617420054787,0.9086149949963624,0.9005479508876151,119,20,15.154411764705886,3.4285714285714284,0.012396694214876033,5.420651874907941,0.032616051066428925,0,0.0,6.0,0.014527845036319613
3.0,campeones_del_mundo,0.9281288123699123,0.949037716251552,0.9710652249452422,343,37,14.759188846641319,4.600583090379009,0.03197879858657244,4.409179179538438,0.08127425202029549,0,15.0,68.0,0.00672599867014475
4.0,campeones_del_mundo,1.0128729536392265,0.955116937421463,0.9704740472761562,424,46,12.32741617357002,4.783018867924528,0.022082408092770785,4.197773129993652,0.0742794296055967,2,16.0,105.66666666666667,0.005653686605111736
5.0,campeones_del_mundo,0.8386438418535113,0.7923894452483512,0.8285868396036963,284,37,13.37641723356009,4.133802816901408,0.01639344262295082,4.648736523815717,0.03960596818373587,1,7.5,25.333333333333332,0.0073035385457622054
6.0,campeones_del_mundo,0.93770511379521,0.9529910255198177,0.938301917616049,275,36,10.860000000000001,4.363636363636363,0.030429594272076373,4.3790510664179765,0.08919087004685608,0,10.0,51.0,0.007962840079628402
7.0,campeones_del_mundo,0.8683286260837988,0.8976865135003137,0.8691750263286366,342,44,11.883095854922278,4.508771929824562,0.020833333333333332,4.369500927049757,0.07127950246574932,1,17.5,60.333333333333336,0.00661110253639965
8.0,campeones_del_mundo,0.9311170733282885,0.8535935520760226,0.8453115625114302,111,16,19.373885918003563,3.315315315315315,0.024774774774774775,5.545252527337841,0.04602335245717598,0,2.0,9.0,0.01506961506961507
9.0,campeones_del_mundo,0.8560464313705647,0.8627137064029199,0.847217562498504,569,58,14.431715210355991,5.430579964850615,0.03826199740596628,4.0365620507137985,0.11103359232867435,2,54.0,249.66666666666666,0.004780440109903711
10.0,campeones_del_mundo,1.0623262478874753,1.0057584038122371,1.0437841566155246,250,32,12.96168582375479,4.168,0.024509803921568627,4.736954184554568,0.05902607231484829,2,7.0,32.666666666666664,0.008369477911646587
11.0,campeones_del_mundo,0.8784147878286598,0.910874957631752,0.8634009591779909,216,26,13.54285714285714,3.888888888888889,0.019455252918287938,5.096724883350813,0.037132191419021965,1,7.5,20.333333333333332,0.00904392764857881
12.0,campeones_del_mundo,0.8949251715433638,0.8328313222628394,0.8219022786502147,322,41,13.33031950551636,4.726708074534161,0.033356024506466984,4.301617582878584,0.0816157386694419,2,29.0,71.66666666666667,0.007362473636346046
13.0,campeones_del_mundo,1.132059657635867,1.0770053244625202,1.0301943290845912,178,25,12.863221884498483,3.696629213483146,0.010833333333333334,4.943310626968961,0.061370010850834086,1,3.5,20.333333333333332,0.010442455405319621
14.0,campeones_del_mundo,1.0009898343027501,0.8896358349342859,0.9414386321375888,136,17,13.555133079847913,3.8529411764705883,0.028720626631853787,4.834920930771934,0.05321405634446291,1,3.5,11.333333333333334,0.014270152505446623
15.0,campeones_del_mundo,1.075471949357896,0.9885951323094831,1.0190233349639712,186,24,13.818,4.010752688172043,0.02108433734939759,4.939413600697445,0.049150097628183044,0,7.0,21.0,0.010839872130194711
16.0,campeones_del_mundo,0.9050233542253662,0.9213130864817046,0.8220811208774494,149,21,13.938042131350683,3.610738255033557,0.02909090909090909,5.936927849804348,0.028747964568878508,1,8.5,7.333333333333333,0.012198440050789044
17.0,campeones_del_mundo,0.9182433588729955,0.9153561216119275,0.8449072968736364,285,34,11.096532091097307,4.519298245614035,0.021270718232044197,4.46021787429637,0.06425569632610323,2,8.0,49.666666666666664,0.007956510995799358
