Sujetos,Condición,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_LSC,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density
1.0,antesdevenir,0.8439565411055105,0.9498520378785436,0.7876398701286283,97,16,20.699300699300693,2.88659793814433,0.0049504950495049506,6.879483274457663,0.018352151857306494,0,3.0,2.0,0.015034364261168385
2.0,antesdevenir,0.9034148294403243,0.8725821181828426,0.8858723906796877,136,23,15.63636363636363,3.3823529411764706,0.02926829268292683,5.917300455535751,0.029847926447191156,0,4.0,9.0,0.01252723311546841
3.0,antesdevenir,1.029679411057237,0.9213056842493681,0.965560141749518,122,20,13.749999999999998,3.5737704918032787,0.005494505494505495,5.189480874316923,0.03140430670889287,1,6.5,11.333333333333334,0.014767646660344127
4.0,antesdevenir,0.8294209361353652,0.8212213126812234,0.7994529390411854,209,29,13.636240786240784,3.8851674641148324,0.012209302325581395,4.81696159984229,0.03883957170202463,0,5.0,17.0,0.009339344865660655
5.0,antesdevenir,0.9533516952911552,0.9392569577617317,0.8804125880439972,203,24,15.281830238726794,3.684729064039409,0.013493253373313344,5.127456882052703,0.03374400219655707,2,4.0,10.666666666666666,0.009120616495147052
6.0,antesdevenir,0.823833073033517,0.7916532751844282,0.7086375366583592,74,12,18.700000000000003,2.945945945945946,0,6.4419844502036385,0.026829863844426954,0,2.0,3.0,0.020177711958533875
7.0,antesdevenir,0.8469391390105644,0.8218261348617586,0.8430700301117848,278,35,13.192868719611022,4.41726618705036,0.022371967654986523,4.559846095772271,0.059288532906942824,0,15.0,36.0,0.007973404669765993
8.0,antesdevenir,1.0621761026319199,1.050612487838024,1.1122717523195658,110,17,12.782967032967031,3.272727272727273,0.010101010101010102,5.374775683032683,0.05249271402084701,0,0.0,10.0,0.015012510425354461
9.0,antesdevenir,0.9145684779696979,0.9171332463711996,0.89597687022339,231,28,12.338074398249454,3.9567099567099566,0.010893246187363835,4.822674720073804,0.042843193327301014,1,10.5,23.333333333333332,0.00860154338415208
10.0,antesdevenir,0.8679451502112421,0.7836196733756782,0.7727873010717324,57,9,14.841176470588234,2.807017543859649,0.013888888888888888,6.076404245908968,0.02315510999721526,0,0.0,2.0,0.02506265664160401
