Sujetos,Condición,Recuerdo_autop,Valencia_autop,Intensidad_autop,ValeInt_autop,num_palabras_unicas_norm,primera_persona_norm,tercera_persona_norm,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm,Positivo pysent,Negativo pysent,Intensidad pysent,Valencia pysent,Valencia e intensidad pysent,Valencia2 pysent,Valencia e intensidad2 pysent,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_LSC,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density,Detalles internos norm,Detalles externos norm
1,campeones_del_mundo,4.0,1.0,3.0,3.0,0.6855411217340879,0.07,0.07,0.115,0.17,0.06,0.075,0.015,0.005,0.1575841158628463,0.121151179075241,0.2787352949380874,0,0.0,0.0,0.0,0.9908491346626758,0.8568004005244443,0.8261742855104353,111.0,17.0,16.701171171171175,3.2972972972972974,0.0204678362573099,5.794451018586346,0.0627799745446804,0.0,2.0,13.0,0.0149877149877149,0.825,0.175
2,campeones_del_mundo,4.0,1.0,3.0,3.0,1.7046068944556283,0.0316901408450704,0.051056338028169,0.153169014084507,0.1584507042253521,0.0316901408450704,0.0985915492957746,0.0228873239436619,0.0246478873239436,0.1039087399840354,0.0466444455087184,0.1505531854927539,0,0.0,0.0,0.0,1.022850982029755,0.9858302724546876,0.9151370437879232,239.0,32.0,13.858819584171696,4.158995815899582,0.0237676056338028,4.8626137177725735,0.0508135391508835,0.0,5.0,30.0,0.0087373861678562,0.8582775919732442,0.1417224080267558
3,campeones_del_mundo,5.0,1.0,5.0,5.0,1.5446033161206163,0.0682414698162729,0.0708661417322834,0.1706036745406824,0.1259842519685039,0.0419947506561679,0.0866141732283464,0.0183727034120734,0.0262467191601049,0.0704368948936462,0.7094467282295227,0.779883623123169,-1,-0.779883623123169,-1.0,-0.779883623123169,0.8696452389677819,0.8352464973195866,0.8924502728728533,176.0,26.0,12.729227761485824,3.875,0.0244122965641952,4.944488136497917,0.0407585280684427,0.0,3.0,12.0,0.0110714285714285,0.8737684729064039,0.126231527093596
4,campeones_del_mundo,5.0,1.0,5.0,5.0,1.6475114643755002,0.0516962843295638,0.0791599353796446,0.1680129240710824,0.1365105008077544,0.061389337641357,0.0928917609046849,0.0008077544426494,0.0218093699515347,0.3021883070468902,0.0381259769201278,0.3403142839670181,0,0.0,1.0,0.3403142839670181,1.1040750722396366,1.054038574509703,1.0537342126596922,417.0,47.0,12.351190476190476,4.83453237410072,0.0230674846625766,4.20984108905344,0.0761760922811656,2.0,14.0,112.66666666666669,0.0058107360265633,0.7804263565891473,0.2195736434108527
5,campeones_del_mundo,5.0,1.0,3.0,3.0,1.975863564924326,0.0297029702970297,0.0579915134370579,0.1654879773691654,0.1315417256011315,0.0396039603960396,0.082036775106082,0.0113154172560113,0.0297029702970297,0.6418008804321289,0.0174726117402315,0.6592734921723604,1,0.6592734921723604,1.0,0.6592734921723604,1.1613906972018806,1.2170116320584028,1.2549377895877487,319.0,38.0,16.460342146189735,4.025078369905956,0.0166846071044133,4.739767045624164,0.0704365002853809,1.0,12.5,44.333333333333336,0.0063287395753238,0.7237171464330413,0.2762828535669587
6,campeones_del_mundo,4.0,1.0,5.0,5.0,1.6293300827041048,0.0485327313769751,0.0699774266365688,0.164785553047404,0.1241534988713318,0.0474040632054176,0.09255079006772,0.0090293453724604,0.0169300225733634,0.0128380544483661,0.5417405962944031,0.5545786507427692,-1,-0.5545786507427692,-1.0,-0.5545786507427692,0.9548257545239052,0.9315203984386786,0.9228144180369272,317.0,41.0,14.927223719676554,4.6750788643533125,0.03850830968788,4.236336161752954,0.0823513981915761,0.0,11.0,76.0,0.0073972766841033,0.7684119677790564,0.2315880322209436
7,campeones_del_mundo,3.0,1.0,4.0,4.0,1.7341643782887737,0.0402439024390243,0.0707317073170731,0.1182926829268292,0.1682926829268292,0.0365853658536585,0.0939024390243902,0.0109756097560975,0.0439024390243902,0.0417073853313922,0.2799732387065887,0.321680624037981,0,0.0,-1.0,-0.321680624037981,0.8330608689311454,0.7976960735975352,0.811673204702617,295.0,31.0,12.349952516619188,4.759322033898305,0.0280318091451292,4.219944687309309,0.0790232533267333,2.0,19.0,65.66666666666667,0.0080940850916637,0.8374269005847953,0.1625730994152046
8,campeones_del_mundo,5.0,1.0,2.0,2.0,1.2853755886683953,0.064516129032258,0.050179211469534,0.1648745519713261,0.1756272401433691,0.057347670250896,0.028673835125448,0.0,0.014336917562724,0.0109458621591329,0.8335126638412476,0.8444585260003805,-1,-0.8444585260003805,-1.0,-0.8444585260003805,0.947152670246062,0.9266362936180906,0.8425052572419452,135.0,20.0,12.912568306010932,3.6,0.0198412698412698,4.78799086685556,0.0953173224442249,0.0,4.0,21.0,0.0134328358208955,0.9666064981949458,0.0333935018050541
9,campeones_del_mundo,4.0,1.0,5.0,5.0,1.909133282015019,0.0384615384615384,0.0807692307692307,0.1509615384615384,0.1557692307692307,0.0442307692307692,0.060576923076923,0.0163461538461538,0.0432692307692307,0.6024767756462097,0.0304329618811607,0.6329097375273705,1,0.6329097375273705,1.0,0.6329097375273705,0.96690779003262,0.9700660684743662,0.9396341579352092,373.0,41.0,11.837863344658365,4.734584450402145,0.0286690433749257,4.186908337271257,0.0806193294471325,2.0,16.0,84.66666666666667,0.0063636887774222,0.8627819548872181,0.1372180451127819
10,campeones_del_mundo,5.0,1.0,5.0,5.0,0.9537930736808986,0.0301291248206599,0.0588235294117647,0.1506456241032998,0.1477761836441893,0.0416068866571018,0.0832137733142037,0.0129124820659971,0.0286944045911047,0.4521383345127105,0.0379494279623031,0.4900877624750137,0,0.0,1.0,0.4900877624750137,0.8837330715337237,0.8806413955821453,0.8734907676951844,288.0,39.0,13.275651691625072,4.173611111111111,0.0277355623100303,4.835159257303615,0.0603459006090404,1.0,12.5,44.333333333333336,0.0072710994967092,0.849721059972106,0.150278940027894
11,campeones_del_mundo,4.0,1.0,3.0,3.0,1.6191500585306864,0.051063829787234,0.0680851063829787,0.1638297872340425,0.1340425531914893,0.025531914893617,0.0723404255319148,0.0085106382978723,0.025531914893617,0.1005346104502677,0.1381201148033142,0.238654725253582,0,0.0,0.0,0.0,1.0282809754980198,1.0652574191233353,1.037856711109035,211.0,24.0,12.39291465378422,3.924170616113744,0.0218905472636815,4.638651733086272,0.0562168973461561,1.0,7.5,22.33333333333333,0.0093432633716993,0.8581560283687943,0.1418439716312056
12,campeones_del_mundo,5.0,1.0,3.0,3.0,1.9017095105597133,0.0410557184750733,0.0557184750733137,0.1436950146627566,0.1671554252199413,0.0527859237536656,0.0850439882697947,0.0058651026392961,0.0586510263929618,0.0569565966725349,0.4277267456054687,0.4846833422780037,0,0.0,-1.0,-0.4846833422780037,1.0655706712079052,1.068081390394619,1.025294116065757,156.0,21.0,12.834760273972606,3.730769230769231,0.0208845208845208,5.205562200448742,0.0437552350966435,0.0,3.0,13.0,0.0120347394540942,0.8922764227642277,0.1077235772357723
