Sujetos,Condición,Recuerdo_autop,Valencia_autop,Intensidad_autop,ValeInt_autop,num_palabras_unicas_norm,primera_persona_norm,tercera_persona_norm,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm,Positivo pysent,Negativo pysent,Intensidad pysent,Valencia pysent,Valencia e intensidad pysent,Valencia2 pysent,Valencia e intensidad2 pysent,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_LSC,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density,Detalles internos norm,Detalles externos norm
1,antesdevenir,,,,,-1.1601465137038411,0.0625,0.0535714285714285,0.1160714285714285,0.2053571428571428,0.0267857142857142,0.0892857142857142,0.0267857142857142,0.0089285714285714,0.0962833911180496,0.0352313630282878,0.1315147541463375,0,0.0,0.0,0.0,0.86543855244977,0.8748054502001372,0.8097019428892146,66.0,13.0,13.874999999999996,3.090909090909091,0.0121951219512195,5.639688676707927,0.0367114367114367,0.0,5.0,3.0,0.0237762237762237,0.5971074380165289,0.402892561983471
2,antesdevenir,,,,,-0.7136935440454362,0.0349650349650349,0.0699300699300699,0.1538461538461538,0.2167832167832167,0.0349650349650349,0.1048951048951049,0.0279720279720279,0.0069930069930069,0.1423591822385788,0.0251275524497032,0.167486734688282,0,0.0,0.0,0.0,0.9102514794015368,0.860815114768939,0.8265884035563436,89.0,15.0,15.66176470588236,3.056179775280899,0.02,6.149455664543589,0.0288267438911297,0.0,4.0,3.0,0.017364657814096,0.5907172995780591,0.4092827004219409
3,antesdevenir,,,,,-1.295473749004388,0.0583333333333333,0.0666666666666666,0.175,0.2,0.0166666666666666,0.0916666666666666,0.025,0.0166666666666666,0.0570748746395111,0.0803683176636695,0.1374431923031807,0,0.0,0.0,0.0,0.862935476924843,0.8556592790226353,0.7646615494595215,79.0,11.0,12.87426900584795,2.8860759493670884,0.0,6.077548965457072,0.0130801687763713,0.0,0.0,1.0,0.0185004868549172,0.7768987341772152,0.2231012658227848
4,antesdevenir,5.0,1.0,1.0,1.0,-0.8504515198049456,0.0153846153846153,0.0948717948717948,0.2205128205128205,0.1307692307692307,0.0615384615384615,0.0589743589743589,0.0307692307692307,0.023076923076923,0.1891986280679702,0.0524259991943836,0.2416246272623539,0,0.0,0.0,0.0,0.810760613817739,0.7583760883417449,0.7552732421611811,197.0,32.0,14.35995608618087,3.50253807106599,0.0148760330578512,5.17324643587304,0.0492271163935993,0.0,10.0,16.0,0.0089350460996581,0.5804115853658537,0.4195884146341463
5,antesdevenir,5.0,-1.0,3.0,-3.0,-0.2069952306111198,0.0671641791044776,0.044776119402985,0.1492537313432835,0.1716417910447761,0.044776119402985,0.1007462686567164,0.0149253731343283,0.0223880597014925,0.0270726587623357,0.5748727917671204,0.6019454505294561,-1,-0.6019454505294561,-1.0,-0.6019454505294561,0.8695656019992146,0.8365408721922156,0.8215716316785735,147.0,24.0,13.940329218106994,3.306122448979592,0.0073746312684365,5.425796280892905,0.0547030699450439,1.0,2.5,12.333333333333334,0.0113223371540396,0.6387931034482759,0.3612068965517241
6,antesdevenir,5.0,1.0,3.0,3.0,-0.6744358129226009,0.0119521912350597,0.0717131474103585,0.147410358565737,0.1673306772908366,0.0916334661354581,0.0597609561752988,0.0079681274900398,0.0159362549800796,0.0397880412638187,0.0875225290656089,0.1273105703294277,0,0.0,0.0,0.0,0.989461140396626,0.9009207462629438,0.8158738954601472,136.0,21.0,13.766519823788542,3.323529411764706,0.0110294117647058,5.68308331653795,0.0382997936016511,0.0,1.0,6.0,0.0123093681917211,0.7016632016632016,0.2983367983367983
7,antesdevenir,3.0,-1.0,1.0,-1.0,0.4920631706990183,0.0586419753086419,0.0709876543209876,0.1419753086419753,0.2021604938271605,0.0169753086419753,0.0648148148148148,0.0169753086419753,0.0262345679012345,0.0077244332060217,0.7836496829986572,0.791374116204679,-1,-0.791374116204679,-1.0,-0.791374116204679,1.0073889023625824,1.0120060048281534,0.952601475828401,236.0,26.0,11.707619047619046,4.440677966101695,0.021828665568369,4.450380346768287,0.0607114917079581,0.0,5.0,35.0,0.0094482509917057,0.6792452830188679,0.320754716981132
8,antesdevenir,4.0,0.0,2.0,0.0,-1.0516709361832326,0.0,0.0560747663551401,0.1682242990654205,0.1962616822429906,0.0186915887850467,0.02803738317757,0.0093457943925233,0.0093457943925233,0.0063659232109785,0.7904516458511353,0.7968175690621138,-1,-0.7968175690621138,-1.0,-0.7968175690621138,0.9771081602149646,1.0210598359784295,1.0077026853501756,60.0,10.0,10.291262135922333,3.3666666666666667,0.028,4.384785073043947,0.0516747069198049,0.0,2.0,5.0,0.0285310734463276,0.7205882352941176,0.2794117647058823
9,antesdevenir,5.0,-1.0,5.0,-5.0,-0.6477416492550959,0.03485254691689,0.0536193029490616,0.1528150134048257,0.1420911528150134,0.0214477211796246,0.0884718498659517,0.0482573726541554,0.0750670241286863,0.212935671210289,0.0267020631581544,0.2396377343684435,0,0.0,0.0,0.0,0.943624532602846,0.8654181877999829,0.7805347914260052,184.0,26.0,17.064615384615383,3.532608695652174,0.0141304347826086,5.585143617766862,0.0285338816046979,1.0,8.5,9.333333333333334,0.0096519363269185,0.7365470852017937,0.2634529147982062
10,antesdevenir,4.0,-1.0,1.0,-1.0,-1.3549917475308002,0.0888888888888888,0.05,0.1444444444444444,0.1777777777777777,0.0277777777777777,0.0833333333333333,0.0166666666666666,0.0222222222222222,0.0721818581223487,0.2147194296121597,0.2869012877345085,0,0.0,0.0,0.0,0.8650167415730425,0.7652285763643805,0.8144381740124916,101.0,14.0,12.710059171597637,3.3069306930693068,0.0179640718562874,5.222747183002869,0.0281784060759017,0.0,2.0,2.0,0.0165346534653465,0.8164556962025317,0.1835443037974683
