Sujetos,Condición,Detalles internos norm,Detalles externos norm
1,antesdevenir,0.6162420382165605,0.3837579617834395
2,antesdevenir,0.7290874524714829,0.2709125475285171
3,antesdevenir,0.8352059925093633,0.1647940074906367
4,antesdevenir,0.8537549407114624,0.14624505928853754
5,antesdevenir,0.7847222222222222,0.2152777777777778
6,antesdevenir,0.6821705426356589,0.3178294573643411
7,antesdevenir,0.907088122605364,0.09291187739463602
8,antesdevenir,0.8666666666666667,0.13333333333333333
9,antesdevenir,0.83154296875,0.16845703125
10,antesdevenir,0.5558823529411765,0.4441176470588235
11,antesdevenir,1.0,0.0
12,antesdevenir,0.9090909090909091,0.09090909090909091
13,antesdevenir,0.78125,0.21875
14,antesdevenir,0.6495535714285714,0.35044642857142855
15,antesdevenir,0.8508771929824561,0.14912280701754385
16,antesdevenir,0.6302325581395349,0.3697674418604651
17,antesdevenir,0.9228915662650602,0.07710843373493977
18,antesdevenir,0.7471428571428571,0.25285714285714284
19,antesdevenir,0.8225308641975309,0.17746913580246915
20,antesdevenir,0.7860169491525424,0.21398305084745764
21,antesdevenir,0.8221784776902887,0.1778215223097113
22,antesdevenir,0.8719806763285024,0.1280193236714976
23,antesdevenir,0.8305785123966942,0.16942148760330578
24,antesdevenir,0.6911764705882353,0.3088235294117647
25,antesdevenir,0.5,0.5
26,antesdevenir,0.6788990825688074,0.3211009174311927
27,antesdevenir,0.9391304347826087,0.06086956521739131
28,antesdevenir,0.7901785714285714,0.20982142857142858
29,antesdevenir,0.7614678899082569,0.23853211009174313
30,antesdevenir,0.8149779735682819,0.18502202643171806
31,antesdevenir,0.8824503311258278,0.11754966887417219
32,antesdevenir,0.8301526717557252,0.16984732824427481
33,antesdevenir,1.0,0.0
34,antesdevenir,0.9572192513368984,0.0427807486631016
35,antesdevenir,0.7728758169934641,0.22712418300653595
36,antesdevenir,0.948936170212766,0.05106382978723404
37,antesdevenir,0.7345132743362832,0.26548672566371684
38,antesdevenir,0.7712765957446809,0.22872340425531915
39,antesdevenir,0.6486666666666666,0.35133333333333333
40,antesdevenir,0.7573913043478261,0.2426086956521739
41,antesdevenir,0.7862232779097387,0.21377672209026127
43,antesdevenir,0.9573170731707317,0.042682926829268296
45,antesdevenir,0.8292682926829268,0.17073170731707318
46,antesdevenir,0.7697095435684648,0.23029045643153526
47,antesdevenir,0.6931818181818182,0.3068181818181818
48,antesdevenir,0.815068493150685,0.18493150684931506
49,antesdevenir,0.8905472636815921,0.10945273631840796
50,antesdevenir,0.8401639344262295,0.1598360655737705
51,antesdevenir,0.9242424242424242,0.07575757575757576
52,antesdevenir,0.6966292134831461,0.30337078651685395
54,antesdevenir,0.9197080291970803,0.08029197080291971
55,antesdevenir,0.782258064516129,0.21774193548387097
56,antesdevenir,0.7857142857142857,0.21428571428571427
57,antesdevenir,0.8900709219858156,0.1099290780141844
58,antesdevenir,0.9477611940298507,0.05223880597014925
59,antesdevenir,0.7692307692307693,0.23076923076923078
60,antesdevenir,0.5368421052631579,0.4631578947368421
61,antesdevenir,0.884375,0.115625
63,antesdevenir,0.7026699029126213,0.2973300970873786
64,antesdevenir,0.6617647058823529,0.3382352941176471
65,antesdevenir,0.6881188118811881,0.3118811881188119
