Sujetos,Condición,Intensidad pysent,Positivo pysennt,Negativo pysent,Nro palabras únicas,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm,primera_persona_norm,tercera_persona_norm,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_norm,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density,Detalles internos norm,Detalles externos norm
1,cfk,0.5639396049082279,0.013691220432519913,0.550248384475708,-0.7382750541751716,0.1472868217054263,0.1317829457364341,0.0232558139534883,0.1240310077519379,0.0,0.0,0.0387596899224806,0.0930232558139534,0.966975405805794,0.967629047294918,1.081211880442179,1.0,13,12.099999999999998,3.2432432432432434,0.0053763440860215,5.1181630260397,0.0112959112959112,0,2.0,2.0,0.0222139948167345,0.5971074380165289,0.40289256198347106
2,cfk,0.2279240731149912,0.02542903460562229,0.2024950385093689,-0.7431850128076443,0.144927536231884,0.1400966183574879,0.0096618357487922,0.0966183574879227,0.0,0.0338164251207729,0.0289855072463768,0.0821256038647343,0.9407177898232238,0.8706794154682367,0.9642148762667796,0.9897959183673468,13,12.166666666666666,3.690721649484536,0.0277777777777777,4.701514644016253,0.0525226333622969,1,2.5,9.333333333333334,0.0192225085910652,0.5907172995780591,0.4092827004219409
3,cfk,0.734152439981699,0.016603652387857437,0.7175487875938416,0.6975627879254396,0.1812080536912751,0.1375838926174496,0.0302013422818791,0.087248322147651,0.0167785234899328,0.0067114093959731,0.0436241610738255,0.0771812080536912,0.9382118398397968,0.9473315429586866,0.9234177193835202,1.0,21,17.643678160919542,3.527027027027027,0.0176282051282051,5.565610708057383,0.0494938444666705,0,2.0,13.0,0.0119966905681191,0.7768987341772152,0.2231012658227848
4,cfk,0.1921341810375452,0.028789246454834938,0.16334493458271027,-0.20212524910162374,0.1720930232558139,0.117829457364341,0.0387596899224806,0.0976744186046511,0.0077519379844961,0.0201550387596899,0.0465116279069767,0.089922480620155,0.902557025730471,0.8427784463784259,0.809113575899478,1.0,37,15.879496402877692,4.149253731343284,0.020684168655529,4.68040482254515,0.0379831931266795,0,6.0,27.0,0.0077701380736765,0.5804115853658537,0.41958841463414637
5,cfk,0.29210544377565384,0.08358398824930191,0.20852145552635193,-0.6209856918333596,0.1291666666666666,0.1208333333333333,0.0291666666666666,0.1375,0.0083333333333333,0.0166666666666666,0.0416666666666666,0.0375,0.9166154230830426,0.8358186761004268,0.8728326960836601,0.9833333333333332,15,14.458525345622114,3.6440677966101696,0.0169491525423728,5.116484562356132,0.0352395835126704,1,2.5,10.333333333333334,0.0155729393017528,0.6387931034482759,0.3612068965517241
6,cfk,0.7642855141311884,0.008466670289635658,0.7558188438415527,0.11018010805171194,0.1416122004357298,0.1372549019607843,0.0435729847494553,0.0849673202614379,0.0,0.0392156862745098,0.0392156862745098,0.0392156862745098,0.8699713663473113,0.880356104143003,0.8773262389071197,1.0,24,13.262867647058826,4.25,0.0343468468468468,4.662184414219077,0.06453031725213,3,10.5,33.0,0.0111256544502617,0.7016632016632016,0.2983367983367983
7,cfk,0.7935361401177943,0.006471647415310144,0.7870644927024841,-0.8933574069972472,0.1134751773049645,0.1170212765957446,0.0638297872340425,0.0744680851063829,0.0035460992907801,0.0106382978723404,0.0319148936170212,0.0851063829787234,0.9391977895446696,0.9490330867975136,0.9397719298812204,1.0,19,13.885057471264371,3.7285714285714286,0.0334987593052109,4.833166767078738,0.0721723812764185,1,2.5,23.33333333333333,0.0134121274409044,0.6792452830188679,0.32075471698113206
8,cfk,0.37115195021033287,0.015618529170751572,0.3555334210395813,-1.2951132825219438,0.2276422764227642,0.1382113821138211,0.024390243902439,0.073170731707317,0.0,0.0,0.056910569105691,0.048780487804878,0.8219861420360823,0.7967984090337551,0.6587367632105925,0.9577464788732394,13,15.362831858407084,3.235294117647059,0.0147058823529411,5.585356662807706,0.0317945126768656,0,0.0,5.0,0.0241439859525899,0.7205882352941176,0.27941176470588236
9,cfk,0.4834155421704054,0.01276799850165844,0.47064754366874695,-0.8395072691003547,0.1380952380952381,0.1523809523809524,0.0333333333333333,0.0833333333333333,0.0,0.0333333333333333,0.0428571428571428,0.0952380952380952,0.8244251812910152,0.8710113789013894,0.7851316523443507,1.0,27,13.205431754874652,3.881081081081081,0.027027027027027,4.818631393912227,0.0461961502651843,0,7.0,20.0,0.0105464159811985,0.7365470852017937,0.26345291479820626
10,cfk,0.8067946135997772,0.007492035627365112,0.7993025779724121,-0.616937583372962,0.1232323232323232,0.1414141414141414,0.0383838383838383,0.0565656565656565,0.0121212121212121,0.0141414141414141,0.0262626262626262,0.0909090909090909,0.917631467622908,0.9437880802864608,0.8875683906303651,1.0,22,11.19625,4.519774011299435,0.0326192794547224,4.115206494111113,0.0810308342363135,0,8.0,33.0,0.0128402670775552,0.8164556962025317,0.18354430379746836
11,cfk,0.8058186867274344,0.007256160024553537,0.7985625267028809,-1.3822012694774153,0.173076923076923,0.0641025641025641,0.0512820512820512,0.1025641025641025,0.0,0.0256410256410256,0.0128205128205128,0.0769230769230769,0.9867131048316328,0.9952470752104844,1.1028403380305123,0.9659090909090908,13,12.447849462365587,3.5764705882352943,0.0261904761904761,4.791756498298313,0.0670488343796659,0,5.0,11.0,0.0212885154061624,0.4198717948717949,0.5801282051282052
12,cfk,0.863320283126086,0.007403961848467588,0.8559163212776184,0.10154759522406248,0.0909090909090909,0.1233766233766233,0.0519480519480519,0.0519480519480519,0.0,0.0584415584415584,0.0844155844155844,0.0584415584415584,0.914006932275355,0.8275956268329967,0.8258540048666627,0.9767441860465116,14,13.200704225352112,3.333333333333333,0.0218978102189781,5.198761713520786,0.0177249117725308,0,1.0,2.0,0.0200803212851405,0.7980769230769231,0.20192307692307693
