Sujetos,Condición,Intensidad pysent,Positivo pysennt,Negativo pysent,Nro palabras únicas,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm,primera_persona_norm,tercera_persona_norm,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_norm,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density,Detalles internos norm,Detalles externos norm
1,antesdevenir,0.1315147541463375,0.09628339111804962,0.03523136302828789,-1.1601465137038411,0.1160714285714285,0.2053571428571428,0.0267857142857142,0.0892857142857142,0.0267857142857142,0.0089285714285714,0.0625,0.0535714285714285,0.8190969713149073,0.8279623004087224,0.7663448863133993,0.9705882352941176,13,13.874999999999996,3.090909090909091,0.0121951219512195,5.639688676707927,0.0367114367114367,0,5.0,3.0,0.0237762237762237,0.8557692307692307,0.14423076923076922
2,antesdevenir,0.167486734688282,0.1423591822385788,0.025127552449703217,-0.7136935440454362,0.1538461538461538,0.2167832167832167,0.0349650349650349,0.1048951048951049,0.0279720279720279,0.0069930069930069,0.0349650349650349,0.0699300699300699,0.8702495880861955,0.8229857528367512,0.7902631679156153,1.0,15,15.66176470588236,3.056179775280899,0.02,6.149455664543589,0.0288267438911297,0,4.0,3.0,0.017364657814096,0.7854330708661418,0.21456692913385828
3,antesdevenir,0.1374431923031807,0.05707487463951111,0.08036831766366959,-1.295473749004388,0.175,0.2,0.0166666666666666,0.0916666666666666,0.025,0.0166666666666666,0.0583333333333333,0.0666666666666666,0.806811080709946,0.8000081189011907,0.7149287838938974,1.0,12,12.87426900584795,2.8860759493670884,0.0,6.077548965457072,0.0130801687763713,0,0.0,1.0,0.0185004868549172,0.8327205882352942,0.16727941176470587
4,antesdevenir,0.2416246272623539,0.18919862806797028,0.05242599919438362,-0.8504515198049456,0.2205128205128205,0.1307692307692307,0.0615384615384615,0.0589743589743589,0.0307692307692307,0.023076923076923,0.0153846153846153,0.0948717948717948,0.7559140870305642,0.7070732823900254,0.7041803382856829,0.9899497487437184,32,14.35995608618087,3.50253807106599,0.0148760330578512,5.17324643587304,0.0492271163935993,0,10.0,16.0,0.0089350460996581,0.8836104513064132,0.1163895486935867
5,antesdevenir,0.6019454505294561,0.027072658762335777,0.5748727917671204,-0.20699523061111988,0.1492537313432835,0.1716417910447761,0.044776119402985,0.1007462686567164,0.0149253731343283,0.0223880597014925,0.0671641791044776,0.044776119402985,0.8097788843251318,0.7790247597406651,0.7650847247916487,1.0,24,13.940329218106994,3.306122448979592,0.0073746312684365,5.425796280892905,0.0547030699450439,1,2.5,12.333333333333334,0.0113223371540396,0.825938566552901,0.17406143344709898
6,antesdevenir,0.12731057032942772,0.03978804126381874,0.08752252906560898,-0.674435812922601,0.147410358565737,0.1673306772908366,0.0916334661354581,0.0597609561752988,0.0079681274900398,0.0159362549800796,0.0119521912350597,0.0717131474103585,0.9368674572537432,0.8530333272109843,0.7725070451711301,0.9927007299270072,19,13.766519823788542,3.323529411764706,0.0110294117647058,5.68308331653795,0.0382997936016511,0,1.0,6.0,0.0123093681917211,0.6693227091633466,0.33067729083665337
7,antesdevenir,0.791374116204679,0.007724433206021786,0.7836496829986572,0.4920631706990183,0.1419753086419753,0.2021604938271605,0.0169753086419753,0.0648148148148148,0.0169753086419753,0.0262345679012345,0.0586419753086419,0.0709876543209876,0.9491282704399762,0.953478350599996,0.8975093819786372,0.9957805907172996,28,11.707619047619046,4.440677966101695,0.021828665568369,4.450380346768287,0.0607114917079581,0,5.0,35.0,0.0094482509917057,0.9174876847290641,0.08251231527093596
8,antesdevenir,0.8167287041433156,0.005294614005833864,0.8114340901374817,-1.0516709361832326,0.1682242990654205,0.1962616822429906,0.0186915887850467,0.02803738317757,0.0093457943925233,0.0093457943925233,0.0,0.0560747663551401,0.8936166553987219,0.9338127678600852,0.9215969531160438,0.967741935483871,10,10.291262135922333,3.3666666666666667,0.028,4.384785073043947,0.0516747069198049,0,2.0,5.0,0.0285310734463276,0.9230769230769231,0.07692307692307693
9,antesdevenir,0.2396377343684435,0.212935671210289,0.026702063158154488,-0.647741649255096,0.1528150134048257,0.1420911528150134,0.0214477211796246,0.0884718498659517,0.0482573726541554,0.0750670241286863,0.03485254691689,0.0536193029490616,0.8814556414207507,0.8084017715396531,0.7291107548145854,1.0,24,17.064615384615383,3.532608695652174,0.0141304347826086,5.585143617766862,0.0285338816046979,1,8.5,9.333333333333334,0.0096519363269185,0.817174515235457,0.18282548476454294
10,antesdevenir,0.2869012877345085,0.07218185812234879,0.21471942961215973,-1.3549917475308002,0.1444444444444444,0.1777777777777777,0.0277777777777777,0.0833333333333333,0.0166666666666666,0.0222222222222222,0.0888888888888888,0.05,0.8110843703575162,0.717517833136265,0.7636592933019754,0.9805825242718448,14,12.710059171597637,3.3069306930693068,0.0179640718562874,5.222747183002869,0.0281784060759017,0,2.0,2.0,0.0165346534653465,0.9166666666666666,0.08333333333333333
11,antesdevenir,0.4218486566096544,0.025254609063267708,0.3965940475463867,-0.07898292968442373,0.1747967479674796,0.1341463414634146,0.024390243902439,0.1056910569105691,0.0284552845528455,0.0121951219512195,0.056910569105691,0.040650406504065,0.7868050182609992,0.7999897596567729,0.7638011571196548,0.9782608695652174,21,14.443231441048036,3.348148148148148,0.0068027210884353,5.370559864434317,0.0192648269040336,0,2.0,5.0,0.0124930901050304,0.9213483146067416,0.07865168539325842
12,antesdevenir,0.4905587797984481,0.47971561551094055,0.010843164287507534,-0.5908223722127263,0.1818181818181818,0.1590909090909091,0.0113636363636363,0.0681818181818181,0.0113636363636363,0.0681818181818181,0.034090909090909,0.0681818181818181,0.850573128153938,0.8829377036658326,0.8203214505293376,0.984375,12,18.857142857142858,2.634920634920635,0.0,7.648611415892547,0.0086860670194003,0,1.0,1.0,0.0212493599590373,0.7474747474747475,0.25252525252525254
13,antesdevenir,0.34337731171399355,0.015547891147434711,0.32782942056655884,-0.9792417328354092,0.1982758620689655,0.1551724137931034,0.0172413793103448,0.0258620689655172,0.0,0.0948275862068965,0.0603448275862069,0.0603448275862069,0.7765058324578302,0.7712399974927518,0.8284637755057321,0.974025974025974,12,13.986486486486484,2.9066666666666667,0.0,6.0078889700511615,0.021021645021645,0,1.0,2.0,0.0196396396396396,0.8983050847457628,0.1016949152542373
14,antesdevenir,0.23994213342666626,0.031249627470970154,0.2086925059556961,-0.5393506212648549,0.1456953642384106,0.1854304635761589,0.0198675496688741,0.0993377483443708,0.0331125827814569,0.0264900662251655,0.0264900662251655,0.0728476821192053,0.7744489859693062,0.7734280661818865,0.7559407992025758,1.0,13,15.44117647058824,3.126436781609196,0.0246478873239436,5.5643593644354565,0.0420200095149385,0,2.0,5.0,0.0181769580326116,0.9758620689655172,0.02413793103448276
15,antesdevenir,0.3388409484177828,0.3144177794456482,0.02442316897213459,-0.9457021759103253,0.1801801801801801,0.1441441441441441,0.027027027027027,0.081081081081081,0.009009009009009,0.036036036036036,0.054054054054054,0.054054054054054,0.8881512129349671,0.8408583102315424,0.8794127897616524,0.9836065573770492,11,11.458333333333336,3.1666666666666665,0.0129870129870129,5.035516713747645,0.0151378713878713,0,0.0,2.0,0.0268361581920903,0.6120689655172413,0.3879310344827586
16,antesdevenir,0.5866617821156979,0.5613952279090881,0.025266554206609726,-1.9015970731391623,0.1327433628318584,0.1592920353982301,0.079646017699115,0.0707964601769911,0.0176991150442477,0.0265486725663716,0.0353982300884955,0.0707964601769911,0.9688489902637538,0.9735772392064116,0.8278703836684119,1.0,12,19.572815533980577,2.7466666666666666,0.0111111111111111,7.615536313011979,0.0031111111111111,0,1.0,0.0,0.0185585585585585,0.654296875,0.345703125
17,antesdevenir,0.23705128207802773,0.20106272399425507,0.03598855808377266,-0.7589568906355413,0.1386138613861386,0.2277227722772277,0.0231023102310231,0.0759075907590759,0.0231023102310231,0.0165016501650165,0.1155115511551155,0.0759075907590759,0.9660555308963676,0.9241681555547212,0.90895207873816,0.9931972789115646,20,13.79506172839506,3.684931506849315,0.0211864406779661,5.195140747738465,0.0219044977622525,1,5.5,7.333333333333333,0.0127066603684459,0.8855799373040752,0.11442006269592477
18,antesdevenir,0.6154463207349181,0.6004409790039062,0.015005341731011868,-1.115684750328215,0.1403508771929824,0.1403508771929824,0.043859649122807,0.1008771929824561,0.0087719298245614,0.043859649122807,0.0219298245614035,0.087719298245614,0.8198769549541438,0.8084631640274254,0.8261244564802285,0.991869918699187,20,16.594202898550726,3.377049180327869,0.0187165775401069,5.722894155708691,0.0578643215506891,0,2.0,11.0,0.0139547486790407,0.7418981481481481,0.25810185185185186
