Sujetos,Condición,Intensidad pysent,Positivo pysennt,Negativo pysent,Nro palabras únicas,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm,primera_persona_norm,tercera_persona_norm,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_norm,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density,Detalles internos norm,Detalles externos norm
1,campeones_del_mundo,0.27873529493808746,0.15758411586284637,0.12115117907524109,0.6855411217340879,0.115,0.17,0.06,0.075,0.015,0.005,0.07,0.07,0.9377922013467268,0.8109213659414652,0.7819351854898233,0.9823008849557522,17,16.701171171171175,3.2972972972972974,0.0204678362573099,5.794451018586346,0.0627799745446804,0,2.0,13.0,0.0149877149877149,0.825,0.175
2,campeones_del_mundo,0.15055318549275398,0.10390873998403549,0.04664444550871849,1.7046068944556283,0.153169014084507,0.1584507042253521,0.0316901408450704,0.0985915492957746,0.0228873239436619,0.0246478873239436,0.0316901408450704,0.051056338028169,0.977900795470492,0.9425069971769224,0.8749204515684682,1.0,32,13.858819584171696,4.158995815899582,0.0237676056338028,4.8626137177725735,0.0508135391508835,0,5.0,30.0,0.0087373861678562,0.8582775919732442,0.14172240802675584
3,campeones_del_mundo,0.779883623123169,0.07043689489364624,0.7094467282295227,1.5446033161206163,0.1706036745406824,0.1259842519685039,0.0419947506561679,0.0866141732283464,0.0183727034120734,0.0262467191601049,0.0682414698162729,0.0708661417322834,0.8130844470390969,0.7809229625870445,0.8344062660424661,1.0,26,12.729227761485824,3.875,0.0244122965641952,4.944488136497917,0.0407585280684427,0,3.0,12.0,0.0110714285714285,0.8737684729064039,0.12623152709359606
4,campeones_del_mundo,0.3403142839670181,0.30218830704689026,0.03812597692012787,1.6475114643755002,0.1680129240710824,0.1365105008077544,0.061389337641357,0.0928917609046849,0.0008077544426494,0.0218093699515347,0.0516962843295638,0.0791599353796446,1.029386339224473,0.9827347223907124,0.9824509500835028,1.0,48,12.351190476190476,4.83453237410072,0.0230674846625766,4.20984108905344,0.0761760922811656,2,14.0,112.66666666666669,0.0058107360265633,0.7804263565891473,0.21957364341085273
5,campeones_del_mundo,0.6592734921723604,0.6418008804321289,0.017472611740231514,1.9758635649243261,0.1654879773691654,0.1315417256011315,0.0396039603960396,0.082036775106082,0.0113154172560113,0.0297029702970297,0.0297029702970297,0.0579915134370579,1.0815396341385817,1.1333363685881532,1.1686549247272686,0.996875,35,16.460342146189735,4.025078369905956,0.0166846071044133,4.739767045624164,0.0704365002853809,1,12.5,44.333333333333336,0.0063287395753238,0.7237171464330413,0.2762828535669587
6,campeones_del_mundo,0.5545786507427692,0.012838054448366165,0.5417405962944031,1.629330082704105,0.164785553047404,0.1241534988713318,0.0474040632054176,0.09255079006772,0.0090293453724604,0.0169300225733634,0.0485327313769751,0.0699774266365688,0.904073075980143,0.8820064896286999,0.8737632657274355,0.9968553459119496,40,14.927223719676554,4.6750788643533125,0.03850830968788,4.236336161752954,0.0823513981915761,0,11.0,76.0,0.0073972766841033,0.7684119677790564,0.23158803222094362
7,campeones_del_mundo,0.32168062403798103,0.04170738533139229,0.27997323870658875,1.7341643782887737,0.1182926829268292,0.1682926829268292,0.0365853658536585,0.0939024390243902,0.0109756097560975,0.0439024390243902,0.0402439024390243,0.0707317073170731,0.7848822037303497,0.7515626714715239,0.7647314588587649,1.0,32,12.349952516619188,4.759322033898305,0.0280318091451292,4.219944687309309,0.0790232533267333,2,19.0,65.66666666666667,0.0080940850916637,0.8374269005847953,0.16257309941520467
8,campeones_del_mundo,0.902622408233583,0.004896051250398159,0.8977263569831848,1.2853755886683953,0.1648745519713261,0.1756272401433691,0.057347670250896,0.028673835125448,0.0,0.014336917562724,0.064516129032258,0.050179211469534,0.866220788854171,0.8474574864791762,0.7705152415949054,0.9926470588235294,20,12.912568306010932,3.6,0.0198412698412698,4.78799086685556,0.0953173224442249,0,4.0,21.0,0.0134328358208955,0.9666064981949458,0.033393501805054154
9,campeones_del_mundo,0.6329097375273705,0.6024767756462097,0.030432961881160736,1.9091332820150195,0.1509615384615384,0.1557692307692307,0.0442307692307692,0.060576923076923,0.0163461538461538,0.0432692307692307,0.0384615384615384,0.0807692307692307,0.9032049261235509,0.9061551274520132,0.8777281649291543,1.0,41,11.837863344658365,4.734584450402145,0.0286690433749257,4.186908337271257,0.0806193294471325,2,16.0,84.66666666666667,0.0063636887774222,0.8627819548872181,0.13721804511278196
10,campeones_del_mundo,0.49008776247501373,0.45213833451271057,0.03794942796230316,0.9537930736808986,0.1506456241032998,0.1477761836441893,0.0416068866571018,0.0832137733142037,0.0129124820659971,0.0286944045911047,0.0301291248206599,0.0588235294117647,0.8286337679263501,0.8257348528857287,0.8190300548874732,1.0,38,13.275651691625072,4.173611111111111,0.0277355623100303,4.835159257303615,0.0603459006090404,1,12.5,44.333333333333336,0.0072710994967092,0.849721059972106,0.150278940027894
11,campeones_del_mundo,0.238654725253582,0.10053461045026779,0.1381201148033142,1.6191500585306864,0.1638297872340425,0.1340425531914893,0.025531914893617,0.0723404255319148,0.0085106382978723,0.025531914893617,0.051063829787234,0.0680851063829787,0.991694133988766,1.0273549340159491,1.0009291592983338,1.0,24,12.39291465378422,3.924170616113744,0.0218905472636815,4.638651733086272,0.0562168973461561,1,7.5,22.33333333333333,0.0093432633716993,0.8581560283687943,0.14184397163120568
12,campeones_del_mundo,0.4846833422780037,0.05695659667253494,0.42772674560546875,1.9017095105597133,0.1436950146627566,0.1671554252199413,0.0527859237536656,0.0850439882697947,0.0058651026392961,0.0586510263929618,0.0410557184750733,0.0557184750733137,0.9952965987385384,0.9976417367330848,0.9576762705659888,0.9936305732484076,21,12.834760273972606,3.730769230769231,0.0208845208845208,5.205562200448742,0.0437552350966435,0,3.0,13.0,0.0120347394540942,0.8922764227642277,0.10772357723577236
13,campeones_del_mundo,0.23820574581623077,0.08358217775821686,0.15462356805801392,1.5637503640627468,0.1610942249240121,0.1337386018237082,0.0455927051671732,0.0911854103343465,0.0091185410334346,0.060790273556231,0.033434650455927,0.0820668693009118,0.8789045153237731,0.937065750668311,0.9057912511903194,1.0,25,15.451505016722406,3.5384615384615383,0.011056511056511,5.669468930434103,0.0366868551935509,0,4.0,10.0,0.0105311355311355,0.8819241982507289,0.11807580174927114
14,campeones_del_mundo,0.5792838092893362,0.5577632784843445,0.021520530804991722,1.9229022149442645,0.1432748538011695,0.1666666666666666,0.0292397660818713,0.0818713450292397,0.0029239766081871,0.0116959064327485,0.067251461988304,0.0497076023391812,1.0081686138732295,1.0333478266523095,1.021636863822655,1.0,24,13.454810495626816,3.8684210526315783,0.0285714285714285,4.949665794196506,0.0454142975368737,0,10.0,16.0,0.0128093412338794,0.8013513513513514,0.19864864864864865
15,campeones_del_mundo,0.9208119143731892,0.004061006475239992,0.9167509078979492,1.904359176148189,0.1421725239616613,0.1869009584664537,0.0463258785942492,0.0830670926517571,0.0223642172523961,0.0255591054313099,0.0383386581469648,0.0511182108626198,0.8826257801567259,0.8705281726153923,0.8794861392659755,0.9956140350877192,26,12.883561643835618,4.493392070484582,0.0358078602620087,4.507128014132561,0.0599550563284845,2,14.0,46.66666666666666,0.0099411328993021,0.9057719054242003,0.09422809457579973
16,campeones_del_mundo,0.3847418874502182,0.35215091705322266,0.032590970396995544,0.9155837759558929,0.192170818505338,0.1245551601423487,0.0676156583629893,0.099644128113879,0.0035587188612099,0.0142348754448398,0.0320284697508896,0.0462633451957295,0.8431387960756218,0.8125068936257152,0.7866582279113026,0.993421052631579,23,17.526923076923076,3.4304635761589406,0.0153256704980842,5.969483036169342,0.0264600541146991,0,2.0,6.0,0.0114348785871964,0.6588050314465409,0.3411949685534591
17,campeones_del_mundo,0.37392937391996384,0.31233710050582886,0.06159227341413498,1.9049315334494707,0.1335656213704994,0.1904761904761904,0.0290360046457607,0.1126596980255516,0.0058072009291521,0.0476190476190476,0.0418118466898954,0.0545876887340302,0.8603000972945495,0.8467997847382565,0.8563941740739089,0.99672131147541,37,15.661659513590848,4.592105263157895,0.0323819978046103,4.65221588795208,0.0616486975011965,1,12.5,55.333333333333336,0.0075777314573562,0.8780295047418335,0.12197049525816649
18,campeones_del_mundo,0.8574567320756614,0.8507140278816223,0.006742704194039106,1.7753231793543862,0.1310228233305156,0.1639898562975486,0.0321217244294167,0.0997464074387151,0.0152155536770921,0.0464919695688926,0.0253592561284869,0.0676246830092984,0.8935141932427794,0.9189993420862252,0.9102229510346777,1.0,40,12.6413433908046,5.333333333333333,0.0387263339070568,4.08258133028826,0.1093489188259298,3,25.5,130.0,0.0076849183477425,0.6844331641285956,0.3155668358714044
19,campeones_del_mundo,0.8151568360626698,0.8051897287368774,0.009967107325792313,1.2124105665549385,0.1697416974169741,0.1476014760147601,0.051660516605166,0.0996309963099631,0.0,0.007380073800738,0.040590405904059,0.029520295202952,0.8123728744814036,0.8291623909915431,0.7644432463266306,0.9924812030075189,19,12.788,3.772727272727273,0.0154639175257731,5.0211378672219125,0.0324042189572492,2,6.0,10.666666666666666,0.0143997224149895,0.8725961538461539,0.12740384615384615
20,campeones_del_mundo,0.7727770991623402,0.7580049633979797,0.014772135764360428,1.8265387385336835,0.1596958174904943,0.1140684410646387,0.0513307984790874,0.091254752851711,0.0076045627376425,0.0323193916349809,0.0437262357414448,0.05893536121673,0.8025257642877934,0.782412531377687,0.7934240320955688,0.9774774774774776,28,12.925601750547049,4.1658986175115205,0.0284916201117318,4.741061947002775,0.0452457991961959,2,8.0,35.666666666666664,0.0096432838368322,0.8032490974729242,0.1967509025270758
21,campeones_del_mundo,0.840049603022635,0.8305400609970093,0.009509542025625706,1.6990605687218785,0.1384615384615384,0.1606837606837607,0.029059829059829,0.1179487179487179,0.0068376068376068,0.0341880341880341,0.0427350427350427,0.0512820512820512,0.8031493190503075,0.8244497848940362,0.7780925504776544,1.0,30,14.469844357976651,4.128514056224899,0.0209347614410905,5.007002923832967,0.0391514959039311,0,8.0,29.0,0.0083236170488405,0.6656151419558359,0.334384858044164
22,campeones_del_mundo,0.25605131685733795,0.15731453895568848,0.09873677790164948,1.6649978526246587,0.1764705882352941,0.1367521367521367,0.0613373554550025,0.0824534942182001,0.0186023127199597,0.0447461035696329,0.0211161387631975,0.0633484162895927,0.90205140129381,0.891032837072871,0.8635823277665114,0.9983050847457628,58,13.47415703056238,5.32427843803056,0.0233218717297054,4.260084048565267,0.0905636978400635,7,38.5,148.33333333333334,0.0045274476513865,0.7958515283842795,0.20414847161572053
23,campeones_del_mundo,0.7038378557190299,0.6926904916763306,0.011147364042699337,1.6558952507373979,0.1745562130177514,0.1183431952662721,0.0502958579881656,0.1035502958579881,0.0118343195266272,0.0266272189349112,0.0118343195266272,0.0502958579881656,0.984591010511656,0.9368791783396468,0.9395665368294293,1.0,24,13.663366336633665,3.859872611464968,0.023391812865497,4.892109715625805,0.0283593617988522,0,3.0,11.0,0.0123713865752082,0.7403846153846154,0.25961538461538464
24,campeones_del_mundo,0.4562338665127754,0.0591076985001564,0.397126168012619,1.8025280603944482,0.1691176470588235,0.1213235294117647,0.0404411764705882,0.0808823529411764,0.0091911764705882,0.0202205882352941,0.0422794117647058,0.0680147058823529,0.7816419808459666,0.7838408792977408,0.7657756503394065,0.9956140350877192,30,11.570247933884298,4.255506607929515,0.020017793594306,4.464302349195877,0.0442838591501649,0,5.0,21.0,0.0094148376281626,0.7782861896838602,0.22171381031613976
