Sujetos,Condición,Percepción cuánto recuerdo,Valencia percibida recuerdo,Valencia percibida -5 a +5,Intensidad percibida recuerdo,Intensidad pysent,Positivo pysennt,Negativo pysent,Nro palabras únicas,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm,primera_persona_norm,tercera_persona_norm,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_norm,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density,Detalles internos norm,Detalles externos norm
1,campeones_del_mundo,4.0,1.0,3.0,3.0,0.27873529493808746,0.15758411586284637,0.12115117907524109,0.6855411217340879,0.115,0.17,0.06,0.075,0.015,0.005,0.07,0.07,0.9377922013467268,0.8109213659414652,0.7819351854898233,0.9823008849557522,17,16.701171171171175,3.2972972972972974,0.0204678362573099,5.794451018586346,0.0627799745446804,0,2.0,13.0,0.0149877149877149,0.825,0.175
2,campeones_del_mundo,4.0,1.0,3.0,3.0,0.15055318549275398,0.10390873998403549,0.04664444550871849,1.7046068944556283,0.153169014084507,0.1584507042253521,0.0316901408450704,0.0985915492957746,0.0228873239436619,0.0246478873239436,0.0316901408450704,0.051056338028169,0.977900795470492,0.9425069971769224,0.8749204515684682,1.0,32,13.858819584171696,4.158995815899582,0.0237676056338028,4.8626137177725735,0.0508135391508835,0,5.0,30.0,0.0087373861678562,0.8582775919732442,0.14172240802675584
3,campeones_del_mundo,5.0,1.0,5.0,5.0,0.779883623123169,0.07043689489364624,0.7094467282295227,1.5446033161206163,0.1706036745406824,0.1259842519685039,0.0419947506561679,0.0866141732283464,0.0183727034120734,0.0262467191601049,0.0682414698162729,0.0708661417322834,0.8130844470390969,0.7809229625870445,0.8344062660424661,1.0,26,12.729227761485824,3.875,0.0244122965641952,4.944488136497917,0.0407585280684427,0,3.0,12.0,0.0110714285714285,0.8737684729064039,0.12623152709359606
4,campeones_del_mundo,5.0,1.0,5.0,5.0,0.3403142839670181,0.30218830704689026,0.03812597692012787,1.6475114643755002,0.1680129240710824,0.1365105008077544,0.061389337641357,0.0928917609046849,0.0008077544426494,0.0218093699515347,0.0516962843295638,0.0791599353796446,1.029386339224473,0.9827347223907124,0.9824509500835028,1.0,48,12.351190476190476,4.83453237410072,0.0230674846625766,4.20984108905344,0.0761760922811656,2,14.0,112.66666666666669,0.0058107360265633,0.7804263565891473,0.21957364341085273
5,campeones_del_mundo,5.0,1.0,3.0,3.0,0.6592734921723604,0.6418008804321289,0.017472611740231514,1.9758635649243261,0.1654879773691654,0.1315417256011315,0.0396039603960396,0.082036775106082,0.0113154172560113,0.0297029702970297,0.0297029702970297,0.0579915134370579,1.0815396341385817,1.1333363685881532,1.1686549247272686,0.996875,35,16.460342146189735,4.025078369905956,0.0166846071044133,4.739767045624164,0.0704365002853809,1,12.5,44.333333333333336,0.0063287395753238,0.7237171464330413,0.2762828535669587
6,campeones_del_mundo,4.0,1.0,5.0,5.0,0.5545786507427692,0.012838054448366165,0.5417405962944031,1.629330082704105,0.164785553047404,0.1241534988713318,0.0474040632054176,0.09255079006772,0.0090293453724604,0.0169300225733634,0.0485327313769751,0.0699774266365688,0.904073075980143,0.8820064896286999,0.8737632657274355,0.9968553459119496,40,14.927223719676554,4.6750788643533125,0.03850830968788,4.236336161752954,0.0823513981915761,0,11.0,76.0,0.0073972766841033,0.7684119677790564,0.23158803222094362
7,campeones_del_mundo,3.0,1.0,4.0,4.0,0.32168062403798103,0.04170738533139229,0.27997323870658875,1.7341643782887737,0.1182926829268292,0.1682926829268292,0.0365853658536585,0.0939024390243902,0.0109756097560975,0.0439024390243902,0.0402439024390243,0.0707317073170731,0.7848822037303497,0.7515626714715239,0.7647314588587649,1.0,32,12.349952516619188,4.759322033898305,0.0280318091451292,4.219944687309309,0.0790232533267333,2,19.0,65.66666666666667,0.0080940850916637,0.8374269005847953,0.16257309941520467
8,campeones_del_mundo,5.0,1.0,2.0,2.0,0.902622408233583,0.004896051250398159,0.8977263569831848,1.2853755886683953,0.1648745519713261,0.1756272401433691,0.057347670250896,0.028673835125448,0.0,0.014336917562724,0.064516129032258,0.050179211469534,0.866220788854171,0.8474574864791762,0.7705152415949054,0.9926470588235294,20,12.912568306010932,3.6,0.0198412698412698,4.78799086685556,0.0953173224442249,0,4.0,21.0,0.0134328358208955,0.9666064981949458,0.033393501805054154
9,campeones_del_mundo,4.0,1.0,5.0,5.0,0.6329097375273705,0.6024767756462097,0.030432961881160736,1.9091332820150195,0.1509615384615384,0.1557692307692307,0.0442307692307692,0.060576923076923,0.0163461538461538,0.0432692307692307,0.0384615384615384,0.0807692307692307,0.9032049261235509,0.9061551274520132,0.8777281649291543,1.0,41,11.837863344658365,4.734584450402145,0.0286690433749257,4.186908337271257,0.0806193294471325,2,16.0,84.66666666666667,0.0063636887774222,0.8627819548872181,0.13721804511278196
10,campeones_del_mundo,5.0,1.0,5.0,5.0,0.49008776247501373,0.45213833451271057,0.03794942796230316,0.9537930736808986,0.1506456241032998,0.1477761836441893,0.0416068866571018,0.0832137733142037,0.0129124820659971,0.0286944045911047,0.0301291248206599,0.0588235294117647,0.8286337679263501,0.8257348528857287,0.8190300548874732,1.0,38,13.275651691625072,4.173611111111111,0.0277355623100303,4.835159257303615,0.0603459006090404,1,12.5,44.333333333333336,0.0072710994967092,0.849721059972106,0.150278940027894
