Sujetos,Condición,Positivo pysent,Negativo pysent,Intensidad pysent,Valencia pysent,Valencia e intensidad pysent,Valencia2 pysent,Valencia e intensidad2 pysent
1.0,presencial,0.8877530097961426,0.006970944348722696,0.8947239541448653,1,0.8947239541448653,1.0,0.8947239541448653
2.0,presencial,0.11291143298149109,0.04859952628612518,0.16151095926761627,0,0.0,0.0,0.0
3.0,presencial,0.1036846786737442,0.08137116581201553,0.18505584448575974,0,0.0,0.0,0.0
4.0,presencial,0.08632689714431763,0.04537491500377655,0.13170181214809418,0,0.0,0.0,0.0
5.0,presencial,0.2932635545730591,0.01953730545938015,0.31280086003243923,0,0.0,1.0,0.31280086003243923
6.0,presencial,0.025411617010831833,0.3304884433746338,0.3559000603854656,0,0.0,-1.0,-0.3559000603854656
7.0,presencial,0.029669132083654404,0.4183703064918518,0.4480394385755062,0,0.0,-1.0,-0.4480394385755062
8.0,presencial,0.007808820344507694,0.7432350516319275,0.7510438719764352,-1,-0.7510438719764352,-1.0,-0.7510438719764352
9.0,presencial,0.0537448450922966,0.12481847405433655,0.17856331914663315,0,0.0,0.0,0.0
10.0,presencial,0.05004198104143143,0.07373744249343872,0.12377942353487015,0,0.0,0.0,0.0
11.0,presencial,0.09071441739797592,0.12220826745033264,0.21292268484830856,0,0.0,0.0,0.0
12.0,presencial,0.052503492683172226,0.06455931067466736,0.11706280335783958,0,0.0,0.0,0.0
13.0,presencial,0.08819030970335007,0.058728769421577454,0.14691907912492752,0,0.0,0.0,0.0
14.0,presencial,0.0898720994591713,0.2755109965801239,0.3653830960392952,0,0.0,-1.0,-0.3653830960392952
15.0,presencial,0.09664802253246307,0.026926279067993164,0.12357430160045624,0,0.0,0.0,0.0
16.0,presencial,0.36456605792045593,0.027079787105321884,0.3916458450257778,0,0.0,1.0,0.3916458450257778
17.0,presencial,0.03622923418879509,0.15135633945465088,0.18758557364344597,0,0.0,0.0,0.0
18.0,presencial,0.00523375952616334,0.9193772673606873,0.9246110268868506,-1,-0.9246110268868506,-1.0,-0.9246110268868506
19.0,presencial,0.0971413105726242,0.04176921024918556,0.13891052082180977,0,0.0,0.0,0.0
20.0,presencial,0.0641394630074501,0.07590901106595993,0.14004847407341003,0,0.0,0.0,0.0
21.0,presencial,0.028367750346660614,0.16016319394111633,0.18853094428777695,0,0.0,0.0,0.0
22.0,presencial,0.11969861388206482,0.04192094877362251,0.16161956265568733,0,0.0,0.0,0.0
