Sujetos,Condición,Positivo pysent,Negativo pysent,Intensidad pysent,Valencia pysent,Valencia e intensidad pysent,Valencia2 pysent,Valencia e intensidad2 pysent
1.0,antesdevenir,0.0392645001411438,0.2852512001991272,0.324515700340271,0,0.0,-1.0,-0.324515700340271
2.0,antesdevenir,0.15872733294963837,0.03276779502630234,0.1914951279759407,0,0.0,0.0,0.0
3.0,antesdevenir,0.028666898608207703,0.48074960708618164,0.5094165056943893,0,0.0,-1.0,-0.5094165056943893
4.0,antesdevenir,0.30283093452453613,0.030319135636091232,0.33315007016062737,0,0.0,1.0,0.33315007016062737
5.0,antesdevenir,0.6049389839172363,0.017397647723555565,0.6223366316407919,1,0.6223366316407919,1.0,0.6223366316407919
6.0,antesdevenir,0.09104041010141373,0.08000390231609344,0.17104431241750717,0,0.0,0.0,0.0
7.0,antesdevenir,0.10569774359464645,0.12881003320217133,0.23450777679681778,0,0.0,0.0,0.0
8.0,antesdevenir,0.18228062987327576,0.06329064816236496,0.24557127803564072,0,0.0,0.0,0.0
9.0,antesdevenir,0.055546294897794724,0.28577667474746704,0.34132296964526176,0,0.0,-1.0,-0.34132296964526176
10.0,antesdevenir,0.2855331301689148,0.023885075002908707,0.3094182051718235,0,0.0,1.0,0.3094182051718235
11.0,antesdevenir,0.11830563098192215,0.0858616977930069,0.20416732877492905,0,0.0,0.0,0.0
12.0,antesdevenir,0.131271630525589,0.04461096599698067,0.17588259652256966,0,0.0,0.0,0.0
13.0,antesdevenir,0.8461745381355286,0.006337817292660475,0.852512355428189,1,0.852512355428189,1.0,0.852512355428189
14.0,antesdevenir,0.28577670454978943,0.02823433093726635,0.3140110354870558,0,0.0,1.0,0.3140110354870558
15.0,antesdevenir,0.02800627052783966,0.5336810946464539,0.5616873651742935,-1,-0.5616873651742935,-1.0,-0.5616873651742935
16.0,antesdevenir,0.5046408772468567,0.029433351010084152,0.5340742282569408,1,0.5340742282569408,1.0,0.5340742282569408
17.0,antesdevenir,0.40938761830329895,0.015521876513957977,0.4249094948172569,0,0.0,1.0,0.4249094948172569
18.0,antesdevenir,0.7733854651451111,0.01364443264901638,0.7870298977941275,1,0.7870298977941275,1.0,0.7870298977941275
19.0,antesdevenir,0.10754108428955078,0.08114258199930191,0.1886836662888527,0,0.0,0.0,0.0
20.0,antesdevenir,0.14351221919059753,0.07033193856477737,0.2138441577553749,0,0.0,0.0,0.0
21.0,antesdevenir,0.12721559405326843,0.11254624277353287,0.2397618368268013,0,0.0,0.0,0.0
22.0,antesdevenir,0.0720570757985115,0.09704229980707169,0.1690993756055832,0,0.0,0.0,0.0
23.0,antesdevenir,0.011292332783341408,0.8014748096466064,0.8127671424299479,-1,-0.8127671424299479,-1.0,-0.8127671424299479
24.0,antesdevenir,0.6950570344924927,0.006956220138818026,0.7020132546313107,1,0.7020132546313107,1.0,0.7020132546313107
25.0,antesdevenir,0.7842872738838196,0.0069032153114676476,0.7911904891952872,1,0.7911904891952872,1.0,0.7911904891952872
26.0,antesdevenir,0.14417389035224915,0.07080961763858795,0.2149835079908371,0,0.0,0.0,0.0
27.0,antesdevenir,0.02696693129837513,0.5345677733421326,0.5615347046405077,-1,-0.5615347046405077,-1.0,-0.5615347046405077
28.0,antesdevenir,0.20616160333156586,0.1525290608406067,0.35869066417217255,0,0.0,1.0,0.35869066417217255
29.0,antesdevenir,0.3310149908065796,0.022502217441797256,0.35351720824837685,0,0.0,1.0,0.35351720824837685
30.0,antesdevenir,0.1407845914363861,0.0720280110836029,0.212812602519989,0,0.0,0.0,0.0
31.0,antesdevenir,0.2465006411075592,0.028630221262574196,0.2751308623701334,0,0.0,0.0,0.0
32.0,antesdevenir,0.22626444697380066,0.16950690746307373,0.3957713544368744,0,0.0,1.0,0.3957713544368744
33.0,antesdevenir,0.1354590356349945,0.1703912615776062,0.3058502972126007,0,0.0,-1.0,-0.3058502972126007
34.0,antesdevenir,0.431899756193161,0.016893737018108368,0.4487934932112694,0,0.0,1.0,0.4487934932112694
35.0,antesdevenir,0.03488326817750931,0.30452823638916016,0.33941150456666946,0,0.0,-1.0,-0.33941150456666946
36.0,antesdevenir,0.6140245199203491,0.016101781278848648,0.6301263011991978,1,0.6301263011991978,1.0,0.6301263011991978
37.0,antesdevenir,0.23512539267539978,0.03603319078683853,0.2711585834622383,0,0.0,0.0,0.0
38.0,antesdevenir,0.038083869963884354,0.3026798665523529,0.34076373651623726,0,0.0,-1.0,-0.34076373651623726
39.0,antesdevenir,0.07170916348695755,0.053681131452322006,0.12539029493927956,0,0.0,0.0,0.0
40.0,antesdevenir,0.2705603539943695,0.09923038631677628,0.3697907403111458,0,0.0,1.0,0.3697907403111458
41.0,antesdevenir,0.11403580754995346,0.09020964056253433,0.2042454481124878,0,0.0,0.0,0.0
42.0,antesdevenir,,,,0,,,
43.0,antesdevenir,0.2644357979297638,0.030551893636584282,0.2949876915663481,0,0.0,0.0,0.0
44.0,antesdevenir,,,,0,,,
45.0,antesdevenir,0.5608584880828857,0.0126638263463974,0.5735223144292831,1,0.5735223144292831,1.0,0.5735223144292831
46.0,antesdevenir,0.37414684891700745,0.015906300395727158,0.3900531493127346,0,0.0,1.0,0.3900531493127346
47.0,antesdevenir,0.3914160430431366,0.015115075744688511,0.4065311187878251,0,0.0,1.0,0.4065311187878251
48.0,antesdevenir,0.3130314350128174,0.022377729415893555,0.33540916442871094,0,0.0,1.0,0.33540916442871094
49.0,antesdevenir,0.6890474557876587,0.02016054093837738,0.7092079967260361,1,0.7092079967260361,1.0,0.7092079967260361
50.0,antesdevenir,0.525471031665802,0.030745496973395348,0.5562165286391973,1,0.5562165286391973,1.0,0.5562165286391973
51.0,antesdevenir,0.030270490795373917,0.36071375012397766,0.3909842409193516,0,0.0,-1.0,-0.3909842409193516
52.0,antesdevenir,0.4248562157154083,0.02603904716670513,0.45089526288211346,0,0.0,1.0,0.45089526288211346
53.0,antesdevenir,,,,0,,,
54.0,antesdevenir,0.045422784984111786,0.21837511658668518,0.26379790157079697,0,0.0,0.0,0.0
55.0,antesdevenir,0.049369823187589645,0.10155367851257324,0.1509235017001629,0,0.0,0.0,0.0
56.0,antesdevenir,0.07312644273042679,0.22161124646663666,0.29473768919706345,0,0.0,0.0,0.0
57.0,antesdevenir,0.20912958681583405,0.09523534774780273,0.3043649345636368,0,0.0,1.0,0.3043649345636368
58.0,antesdevenir,0.1902589350938797,0.06636836379766464,0.25662729889154434,0,0.0,0.0,0.0
59.0,antesdevenir,0.13550715148448944,0.116877481341362,0.25238463282585144,0,0.0,0.0,0.0
60.0,antesdevenir,0.24337881803512573,0.055855635553598404,0.29923445358872414,0,0.0,0.0,0.0
61.0,antesdevenir,0.21152080595493317,0.030929746106266975,0.24245055206120014,0,0.0,0.0,0.0
62.0,antesdevenir,,,,0,,,
63.0,antesdevenir,0.5452746152877808,0.011551697738468647,0.5568263130262494,1,0.5568263130262494,1.0,0.5568263130262494
64.0,antesdevenir,0.17163042724132538,0.023256734013557434,0.1948871612548828,0,0.0,0.0,0.0
65.0,antesdevenir,0.01358933374285698,0.5416935682296753,0.5552829019725323,-1,-0.5552829019725323,-1.0,-0.5552829019725323
