Sujetos,Condición,Positivo pysent,Negativo pysent,Intensidad pysent,Valencia pysent,Valencia e intensidad pysent,Valencia2 pysent,Valencia e intensidad2 pysent
1,presencial,0.023927053436636925,0.47137585282325745,0.49530290625989437,0,0.0,-1.0,-0.49530290625989437
2,presencial,0.026938514783978462,0.06327467411756516,0.09021318890154362,0,0.0,0.0,0.0
3,presencial,0.5202295184135437,0.05000670626759529,0.570236224681139,1,0.570236224681139,1.0,0.570236224681139
4,presencial,0.1974261850118637,0.016871897503733635,0.21429808251559734,0,0.0,0.0,0.0
5,presencial,0.008653618395328522,0.3110295236110687,0.31968314200639725,0,0.0,-1.0,-0.31968314200639725
6,presencial,0.011770842596888542,0.713151752948761,0.7249225955456495,-1,-0.7249225955456495,-1.0,-0.7249225955456495
7,presencial,0.054533518850803375,0.2864859402179718,0.3410194590687752,0,0.0,-1.0,-0.3410194590687752
8,presencial,0.25407150387763977,0.11153285950422287,0.36560436338186264,0,0.0,1.0,0.36560436338186264
9,presencial,0.022597985342144966,0.36159026622772217,0.38418825156986713,0,0.0,-1.0,-0.38418825156986713
10,presencial,0.02673090249300003,0.16560909152030945,0.19233999401330948,0,0.0,0.0,0.0
11,presencial,0.05954357236623764,0.31551674008369446,0.3750603124499321,0,0.0,-1.0,-0.3750603124499321
12,presencial,0.06028991565108299,0.05448203161358833,0.11477194726467133,0,0.0,0.0,0.0
13,presencial,0.06571542471647263,0.12136494368314743,0.18708036839962006,0,0.0,0.0,0.0
14,presencial,0.12881319224834442,0.07090511918067932,0.19971831142902374,0,0.0,0.0,0.0
15,presencial,0.1995072215795517,0.041852470487356186,0.24135969206690788,0,0.0,0.0,0.0
16,presencial,0.011002078652381897,0.7177524566650391,0.728754535317421,-1,-0.728754535317421,-1.0,-0.728754535317421
17,presencial,0.061677489429712296,0.1515076756477356,0.2131851650774479,0,0.0,0.0,0.0
18,presencial,0.017534900456666946,0.31770843267440796,0.3352433331310749,0,0.0,-1.0,-0.3352433331310749
19,presencial,0.004396745469421148,0.8752157092094421,0.8796124546788633,-1,-0.8796124546788633,-1.0,-0.8796124546788633
20,presencial,0.022924913093447685,0.48654261231422424,0.5094675254076719,0,0.0,-1.0,-0.5094675254076719
