Sujetos,Condición,Positivo pysent,Negativo pysent,Intensidad pysent,Valencia pysent,Valencia e intensidad pysent,Valencia2 pysent,Valencia e intensidad2 pysent
1,cfk,0.016624044626951218,0.4034367799758911,0.42006082460284233,0,0.0,-1,-0.42006082460284233
2,cfk,0.02542903460562229,0.2024950385093689,0.2279240731149912,0,0.0,0,0.0
3,cfk,0.016603652387857437,0.7175487875938416,0.734152439981699,-1,-0.734152439981699,-1,-0.734152439981699
4,cfk,0.028789246454834938,0.16334493458271027,0.1921341810375452,0,0.0,0,0.0
5,cfk,0.08358398824930191,0.20852145552635193,0.29210544377565384,0,0.0,0,0.0
6,cfk,0.008466670289635658,0.7558188438415527,0.7642855141311884,-1,-0.7642855141311884,-1,-0.7642855141311884
7,cfk,0.006471647415310144,0.7870644927024841,0.7935361401177943,-1,-0.7935361401177943,-1,-0.7935361401177943
8,cfk,0.015618529170751572,0.3555334210395813,0.37115195021033287,0,0.0,-1,-0.37115195021033287
9,cfk,0.01276799850165844,0.47064754366874695,0.4834155421704054,0,0.0,-1,-0.4834155421704054
10,cfk,0.007492035627365112,0.7993025779724121,0.8067946135997772,-1,-0.8067946135997772,-1,-0.8067946135997772
11,cfk,0.007256160024553537,0.7985625267028809,0.8058186867274344,-1,-0.8058186867274344,-1,-0.8058186867274344
12,cfk,0.007403961848467588,0.8559163212776184,0.863320283126086,-1,-0.863320283126086,-1,-0.863320283126086
13,cfk,0.03256288170814514,0.30716389417648315,0.3397267758846283,0,0.0,-1,-0.3397267758846283
14,cfk,0.02959270030260086,0.13506852090358734,0.1646612212061882,0,0.0,0,0.0
15,cfk,0.01728057861328125,0.6289296746253967,0.646210253238678,-1,-0.646210253238678,-1,-0.646210253238678
16,cfk,0.06615228950977325,0.16120809316635132,0.22736038267612457,0,0.0,0,0.0
17,cfk,0.018673134967684746,0.3486699163913727,0.3673430513590574,0,0.0,-1,-0.3673430513590574
18,cfk,0.026681499555706978,0.07970265299081802,0.106384152546525,0,0.0,0,0.0
19,cfk,0.05497853457927704,0.1260147988796234,0.18099333345890045,0,0.0,0,0.0
20,cfk,0.02116764709353447,0.1631556898355484,0.18432333692908287,0,0.0,0,0.0
21,cfk,0.023859182372689247,0.36817049980163574,0.392029682174325,0,0.0,-1,-0.392029682174325
22,cfk,0.021621888503432274,0.3162060081958771,0.33782789669930935,0,0.0,-1,-0.33782789669930935
23,cfk,0.013213759288191795,0.6548001170158386,0.6680138763040304,-1,-0.6680138763040304,-1,-0.6680138763040304
24,cfk,0.14742137491703033,0.04590414837002754,0.19332552328705788,0,0.0,0,0.0
25,cfk,0.06488210707902908,0.24765761196613312,0.3125397190451622,0,0.0,-1,-0.3125397190451622
26,cfk,0.10166840255260468,0.11047181487083435,0.21214021742343903,0,0.0,0,0.0
27,cfk,0.01329093985259533,0.47211697697639465,0.48540791682899,0,0.0,-1,-0.48540791682899
28,cfk,0.014353464357554913,0.4815908670425415,0.4959443314000964,0,0.0,-1,-0.4959443314000964
29,cfk,0.014108128845691681,0.5294551253318787,0.5435632541775703,-1,-0.5435632541775703,-1,-0.5435632541775703
30,cfk,0.04288521781563759,0.3562701940536499,0.3991554118692875,0,0.0,-1,-0.3991554118692875
31,cfk,0.052101172506809235,0.11138398200273514,0.16348515450954437,0,0.0,0,0.0
32,cfk,0.24836525321006775,0.018931949511170387,0.26729720272123814,0,0.0,0,0.0
33,cfk,0.01834546960890293,0.40618664026260376,0.4245321098715067,0,0.0,-1,-0.4245321098715067
34,cfk,0.021486513316631317,0.5331117510795593,0.5545982643961906,-1,-0.5545982643961906,-1,-0.5545982643961906
35,cfk,0.10729213058948517,0.0880122259259224,0.19530435651540756,0,0.0,0,0.0
36,cfk,0.008967655710875988,0.7976911067962646,0.8066587625071406,-1,-0.8066587625071406,-1,-0.8066587625071406
37,cfk,0.01232692040503025,0.6047999262809753,0.6171268466860056,-1,-0.6171268466860056,-1,-0.6171268466860056
38,cfk,0.011510416865348816,0.6474918723106384,0.6590022891759872,-1,-0.6590022891759872,-1,-0.6590022891759872
39,cfk,0.04164872318506241,0.149945929646492,0.1915946528315544,0,0.0,0,0.0
40,cfk,0.021874086931347847,0.25923237204551697,0.2811064589768648,0,0.0,0,0.0
41,cfk,0.046165380626916885,0.09284346550703049,0.13900884613394737,0,0.0,0,0.0
42,cfk,0.020480696111917496,0.46293166279792786,0.48341235890984535,0,0.0,-1,-0.48341235890984535
43,cfk,0.022955724969506264,0.16734203696250916,0.19029776193201542,0,0.0,0,0.0
