Sujetos,Condición,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_LSC,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density
1,cfk,1.0216834205987555,1.022374042788776,1.1423829869609277,74,13,12.099999999999998,3.2432432432432434,0.005376344086021506,5.1181630260397,0.011295911295911296,0,2.0,2.0,0.022213994816734542
2,cfk,0.9839588223983401,0.9107010642284031,1.008535975883593,97,13,12.166666666666666,3.6907216494845363,0.027777777777777776,4.701514644016253,0.05252263336229695,1,2.5,9.333333333333334,0.019222508591065293
3,cfk,1.0034768991475365,1.0132309984013388,0.9876536516775254,148,21,17.643678160919542,3.527027027027027,0.017628205128205128,5.565610708057383,0.04949384446667055,0,2.0,13.0,0.01199669056811914
4,cfk,0.9680434598874753,0.9039275523787206,0.867820074661477,268,35,15.879496402877693,4.149253731343284,0.020684168655529037,4.68040482254515,0.03798319312667957,0,6.0,27.0,0.007770138073676561
5,cfk,0.9842899803929027,0.8975279354822486,0.9372747345062256,118,16,14.458525345622114,3.6440677966101696,0.01694915254237288,5.116484562356132,0.03523958351267043,1,2.5,10.333333333333334,0.015572939301752861
6,cfk,0.9188096497467304,0.9297773639335005,0.9265774087121578,192,22,13.262867647058826,4.25,0.03434684684684685,4.662184414219077,0.06453031725213003,3,10.5,33.0,0.01112565445026178
7,cfk,0.9968488557107026,1.0072878760333817,0.9974582386797419,140,19,13.885057471264371,3.7285714285714286,0.033498759305210915,4.833166767078738,0.07217238127641853,1,2.5,23.333333333333332,0.01341212744090442
8,cfk,0.8987851357903661,0.8712440875061793,0.7202832029573913,68,12,15.362831858407084,3.235294117647059,0.014705882352941176,5.585356662807706,0.03179451267686562,0,0.0,5.0,0.024143985952589993
9,cfk,0.8825717254561287,0.9324436383240045,0.8405068317232474,185,28,13.205431754874652,3.881081081081081,0.02702702702702703,4.818631393912227,0.04619615026518431,0,7.0,20.0,0.01054641598119859
10,cfk,0.978648598219411,1.006544472784028,0.946586502274588,177,22,11.196250000000001,4.519774011299435,0.03261927945472249,4.115206494111113,0.08103083423631356,0,8.0,33.0,0.012840267077555213
11,cfk,1.0231161798769344,1.031964996346929,1.1435277266865709,85,13,12.447849462365589,3.5764705882352943,0.02619047619047619,4.791756498298313,0.06704883437966591,0,5.0,11.0,0.021288515406162466
12,cfk,0.9785414534197351,0.8860289773830783,0.8841643861747802,84,14,13.200704225352112,3.3333333333333335,0.021897810218978103,5.198761713520786,0.017724911772530817,0,1.0,2.0,0.020080321285140562
13,cfk,0.7887128076720199,0.7517002400273859,0.5646978299845494,67,10,13.391304347826088,3.253731343283582,0.043478260869565216,5.360178684967848,0.049760998926933954,0,0.0,6.0,0.02464947987336047
14,cfk,0.9301403388123826,0.8183381794217964,0.5064747938987012,81,15,16.740000000000002,3.037037037037037,0.01,5.9856666666667335,0.020723400970314547,0,1.0,5.0,0.01898148148148148
15,cfk,0.9210405157775844,1.0163483167681442,1.0929085302887505,81,12,14.50746268656716,3.308641975308642,0.013245033112582781,5.124709784411186,0.054277472305794744,1,0.5,8.333333333333334,0.020679012345679013
16,cfk,0.9354866897327134,0.9766827360761285,0.9748845519704616,131,18,15.975,3.5419847328244276,0.01652892561983471,5.362396506165811,0.02004574843005113,0,1.0,4.0,0.013623018203170875
17,cfk,0.9954783360454854,1.0338989191963657,1.0093723556786307,174,23,12.005141388174804,4.471264367816092,0.04499274310595065,4.643154538493878,0.06374477331849845,2,6.0,29.666666666666668,0.012922729386751711
18,cfk,1.069723803849656,1.0138133271807546,1.0700240538168195,212,28,13.662470430936953,4.3584905660377355,0.02631578947368421,4.557940105686542,0.08212952161762703,0,4.0,32.0,0.010328176696771886
19,cfk,0.8981350327367634,1.1102254576753836,0.8614448808570163,80,14,14.713178294573645,3.15,0.004807692307692308,5.477566807313622,0.028050577549749732,1,3.5,4.333333333333333,0.019936708860759492
20,cfk,0.822265512748484,0.795514154934034,0.7091810884987029,114,17,12.690972222222221,3.789473684210526,0.04261363636363636,4.6506453521134565,0.09443001437781913,1,3.5,24.333333333333332,0.016767582673497903
21,cfk,1.0620723280879538,1.02965436779496,1.0231237755809053,109,18,17.965909090909093,3.229357798165138,0.026143790849673203,6.038445907855309,0.026199963315451717,1,3.5,3.3333333333333335,0.014950730547060823
22,cfk,0.9178155198827646,0.9294354396521515,0.9805082140764975,157,23,15.467796610169492,3.7070063694267517,0.014138817480719794,5.287785514652271,0.03634533690456146,2,7.0,13.666666666666666,0.011881430671239588
23,cfk,1.0543657690003168,1.0256393566683337,1.0409768420292802,131,20,14.74205020920502,3.648854961832061,0.013846153846153847,4.833179691101605,0.02631432057695061,0,6.0,8.0,0.014034057545507928
24,cfk,1.0950809042608562,1.06800961371854,1.068449376917773,170,22,13.573170731707316,3.823529411764706,0.026405451448040886,4.983092365066705,0.06530957841454152,0,5.0,21.0,0.011312217194570135
25,cfk,0.9660610596009102,1.0389248747366258,1.0261995898300618,115,18,11.74137931034483,3.5304347826086957,0.010040160642570281,5.002601218188878,0.038909909925255184,0,2.0,6.0,0.015484363081617086
26,cfk,1.003709422672569,1.0229797515052443,1.0790437844389866,254,33,11.630434782608694,4.346456692913386,0.02172164119066774,4.601037910248355,0.054603000124120886,1,8.5,49.333333333333336,0.008589835361488905
27,cfk,0.9897558410447732,0.9977851877252795,1.009409493199769,147,19,15.49044585987261,4.272108843537415,0.03236797274275979,4.79530698988551,0.04866300447992773,2,5.0,20.666666666666668,0.014630509738141832
28,cfk,1.074616998192138,1.0728708924656414,1.0520944606019247,129,20,10.842007434944238,4.155038759689923,0.02956298200514139,4.662478822056084,0.035307794374141846,1,4.5,16.333333333333332,0.01623062015503876
29,cfk,1.0685750947024344,0.9946189252169109,0.8999922497663913,145,24,16.489361702127653,3.2,0.009541984732824428,5.935546928072445,0.03364560222999424,0,4.0,6.0,0.011111111111111112
30,cfk,0.8841138584265437,0.8813892788823616,0.928632652476993,159,20,15.447540983606558,3.8364779874213837,0.03889943074003795,4.990483509326959,0.0628012623709204,0,8.0,22.0,0.012140753124751213
31,cfk,0.9574183147835355,0.9226751289619924,0.9595034410177591,297,35,15.077809798270893,4.646464646464646,0.030511388053287496,4.472273595579792,0.07265786329422246,3,10.5,51.0,0.007848757848757848
32,cfk,0.7361964947706271,1.0947871135394163,0.8489933994320045,103,17,14.912790697674414,3.320388349514563,0.0220125786163522,5.385498615040058,0.04012090929566658,0,3.0,6.0,0.016276413478012564
33,cfk,0.7774453112152239,0.800351400230731,0.8384910885961763,116,18,14.522727272727275,3.396551724137931,0.033816425120772944,5.613669680311208,0.04664442358407876,1,2.5,9.333333333333334,0.014767616191904047
34,cfk,0.8708652008657599,0.8552821714644427,0.9243530763402891,92,15,12.90243902439024,3.5652173913043477,0.03355704697986577,5.200672295184544,0.047228077407105544,0,0.0,7.0,0.019589106545628284
35,cfk,1.0722271198193514,1.0675599807978087,1.0341924823939521,177,22,14.56352841391009,4.429378531073446,0.032017075773746,4.638069197386446,0.08142032277162267,1,9.5,30.333333333333332,0.012583461736004109
36,cfk,0.8713463081013699,0.834862831358595,0.8995877081054771,152,21,11.438356164383558,3.8157894736842106,0.013779527559055118,4.795440618778135,0.030217454166563226,1,9.5,11.333333333333334,0.012635064482398048
37,cfk,0.7985102155220255,0.8864732311995291,0.7794392919522182,92,14,12.819767441860462,3.717391304347826,0.024193548387096774,4.7691432682585155,0.03898659914964262,0,3.0,7.0,0.020425226946966076
38,cfk,0.9315815826575962,0.9029922321285723,0.9535819634643099,154,22,11.738505747126435,4.5064935064935066,0.06316410861865407,4.298002319469559,0.07864779080263735,0,7.0,34.0,0.01472710296239708
39,cfk,0.8389819455727019,0.8088084439759451,0.8867143694263926,149,20,10.816950633464396,4.389261744966443,0.034074074074074076,4.222107001492551,0.05330845369814308,0,14.0,19.0,0.014828586976237982
40,cfk,0.9886493824394041,0.9687740252274021,0.9017655080032041,333,40,12.120291616038886,4.942942942942943,0.03248638838475499,4.43706404120471,0.06585005816196794,2,16.0,87.66666666666667,0.0074441911791309386
41,cfk,1.005610856871022,0.9941804179348673,1.1729755541371476,118,16,12.421874999999998,3.7457627118644066,0.03536977491961415,4.9252068461927605,0.055244242574751044,0,2.0,7.0,0.0160075329566855
42,cfk,0.9917836627976961,0.9756203608583568,1.0637786535417784,76,13,15.361111111111109,3.1052631578947367,0.017543859649122806,5.701288499025318,0.03627742314182992,0,3.0,3.0,0.020701754385964912
43,cfk,1.0175227801438718,0.9850483830203846,0.9281468696382728,96,18,15.931677018633543,3.3333333333333335,0.01773049645390071,5.6566813319531,0.04156757446020267,0,4.0,8.0,0.017543859649122806
