Sujetos,Condición,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_LSC,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density
1,arabia,0.8899968302916029,0.8785795282012306,0.8696473967202527,80,14,15.007999999999996,3.05,0.011627906976744186,5.975467088607952,0.0125244893994894,0,2.0,2.0,0.01930379746835443
2,arabia,0.7557644180819982,0.8257770019796999,0.6925735028948049,95,14,12.447013487475914,3.642105263157895,0.0398936170212766,4.995224039683291,0.09173093848016448,0,0.0,17.0,0.01937290033594625
3,arabia,0.9215625043511174,0.8815031668468543,0.860594684373994,108,15,14.711864406779666,3.185185185185185,0.02413793103448276,5.8547583567514,0.049150669289558184,0,2.0,7.0,0.014884042921426099
4,arabia,1.0112000996115165,0.9201710833737176,0.89632094189816,341,45,14.393151278716946,4.510263929618769,0.02395964691046658,4.529495161354024,0.06619946393978977,3,18.5,65.0,0.006632741072968777
5,arabia,0.8803650025113842,0.814805391614028,0.7598792276792576,136,26,15.263513513513512,3.25,0.0210727969348659,5.457414264755019,0.05824871041275057,0,6.0,14.0,0.012037037037037037
6,arabia,0.9310937481438528,0.8079967793637371,0.7675018077794336,80,14,13.631999999999996,3.125,0.016666666666666666,5.593991139240522,0.026005036630036626,0,2.0,3.0,0.01977848101265823
7,arabia,1.059268196863601,0.9837644122622153,0.920572874784697,152,19,11.878787878787879,3.8552631578947367,0.024509803921568627,5.052133980680267,0.038484037635699686,0,3.0,13.0,0.012765772046009063
8,arabia,0.8510454039379164,0.8641802647364072,0.848484057171308,115,17,13.844660194174754,3.582608695652174,0.036585365853658534,5.055190360874756,0.039098232710091635,0,2.0,7.0,0.015713196033562166
9,arabia,0.862760106670076,0.9147413566847168,0.7902863887596401,192,27,16.010840108401084,3.8229166666666665,0.02658045977011494,5.067121775053084,0.037042545333358726,0,5.0,14.0,0.010007635253054101
10,arabia,1.045653391191355,1.0637541339566354,0.9880757233608284,313,45,13.04351585014409,4.434504792332269,0.028092243186582808,4.531787283140664,0.055699620377140435,1,13.5,53.333333333333336,0.007106578192840174
