Sujetos,Condición,Positivo pysent,Negativo pysent,Intensidad pysent
1.0,campeones_del_mundo,0.002789098536595702,0.9552983045578003,0.958087403094396
2.0,campeones_del_mundo,0.11306697130203247,0.12065493315458298,0.23372190445661545
3.0,campeones_del_mundo,0.7895866632461548,0.015448169782757759,0.8050348330289125
4.0,campeones_del_mundo,0.08087571710348129,0.13221155107021332,0.2130872681736946
5.0,campeones_del_mundo,0.7908729910850525,0.012497738935053349,0.8033707300201058
6.0,campeones_del_mundo,0.1766083687543869,0.026235761120915413,0.20284412987530231
7.0,campeones_del_mundo,0.36514559388160706,0.025462672114372253,0.3906082659959793
8.0,campeones_del_mundo,0.16012458503246307,0.308273047208786,0.4683976322412491
9.0,campeones_del_mundo,0.05309242010116577,0.4135013818740845,0.46659380197525024
10.0,campeones_del_mundo,0.13506802916526794,0.047578003257513046,0.182646032422781
11.0,campeones_del_mundo,0.09877461940050125,0.0919564738869667,0.19073109328746796
12.0,campeones_del_mundo,0.0063642398454248905,0.8663153648376465,0.8726796046830714
13.0,campeones_del_mundo,0.14057639241218567,0.05576720088720322,0.19634359329938889
14.0,campeones_del_mundo,0.050885241478681564,0.19002604484558105,0.24091128632426262
15.0,campeones_del_mundo,0.016037115827202797,0.41264525055885315,0.42868236638605595
16.0,campeones_del_mundo,0.01770133525133133,0.6222010850906372,0.6399024203419685
17.0,campeones_del_mundo,0.41969189047813416,0.019307268783450127,0.4389991592615843
18.0,campeones_del_mundo,0.37038514018058777,0.048686277121305466,0.41907141730189323
19.0,campeones_del_mundo,0.5987959504127502,0.013831338845193386,0.6126272892579436
20.0,campeones_del_mundo,0.08184464275836945,0.3872207999229431,0.46906544268131256
21.0,campeones_del_mundo,0.7624591588973999,0.016671324148774147,0.779130483046174
22.0,campeones_del_mundo,0.3338584303855896,0.08792044967412949,0.4217788800597191
23.0,campeones_del_mundo,0.10652580112218857,0.1387459933757782,0.24527179449796677
24.0,campeones_del_mundo,0.3716847598552704,0.05299490690231323,0.4246796667575836
25.0,campeones_del_mundo,0.7320491075515747,0.016102895140647888,0.7481520026922226
26.0,campeones_del_mundo,0.1745862513780594,0.07789292931556702,0.2524791806936264
27.0,campeones_del_mundo,0.32275480031967163,0.08051704615354538,0.403271846473217
28.0,campeones_del_mundo,0.21150729060173035,0.14743511378765106,0.3589424043893814
29.0,campeones_del_mundo,0.11326609551906586,0.11328506469726562,0.22655116021633148
30.0,campeones_del_mundo,0.030691051855683327,0.4821499288082123,0.5128409806638956
31.0,campeones_del_mundo,0.052834127098321915,0.31700611114501953,0.36984023824334145
32.0,campeones_del_mundo,0.04892413690686226,0.3348255157470703,0.38374965265393257
33.0,campeones_del_mundo,0.4414815902709961,0.023963743820786476,0.46544533409178257
34.0,campeones_del_mundo,0.0269729383289814,0.7084777355194092,0.7354506738483906
35.0,campeones_del_mundo,0.010273559018969536,0.7989515662193298,0.8092251252382994
36.0,campeones_del_mundo,0.3726274371147156,0.06027271971106529,0.43290015682578087
37.0,campeones_del_mundo,0.06338348984718323,0.1223064586520195,0.18568994849920273
38.0,campeones_del_mundo,0.1901177316904068,0.06850744038820267,0.25862517207860947
39.0,campeones_del_mundo,0.621637225151062,0.01791655831038952,0.6395537834614515
40.0,campeones_del_mundo,0.6573907136917114,0.00897072535008192,0.6663614390417933
41.0,campeones_del_mundo,0.20632894337177277,0.05768817290663719,0.26401711627840996
42.0,campeones_del_mundo,,,
43.0,campeones_del_mundo,0.38147395849227905,0.018816916272044182,0.40029087476432323
44.0,campeones_del_mundo,,,
45.0,campeones_del_mundo,0.6539422869682312,0.026598317548632622,0.6805406045168638
46.0,campeones_del_mundo,0.3341940641403198,0.018189629539847374,0.3523836936801672
47.0,campeones_del_mundo,0.6780306100845337,0.02325732819736004,0.7012879382818937
48.0,campeones_del_mundo,0.11771127581596375,0.10968700796365738,0.22739828377962112
49.0,campeones_del_mundo,0.08362361788749695,0.12475105375051498,0.20837467163801193
50.0,campeones_del_mundo,0.17984169721603394,0.033802106976509094,0.21364380419254303
51.0,campeones_del_mundo,0.13405673205852509,0.06895236670970917,0.20300909876823425
52.0,campeones_del_mundo,0.6414369940757751,0.017035622149705887,0.658472616225481
53.0,campeones_del_mundo,,,
54.0,campeones_del_mundo,0.058164115995168686,0.1986393928527832,0.2568035088479519
55.0,campeones_del_mundo,0.11065705120563507,0.14324983954429626,0.25390689074993134
56.0,campeones_del_mundo,0.13300330936908722,0.21056732535362244,0.34357063472270966
57.0,campeones_del_mundo,0.366813987493515,0.04470859467983246,0.4115225821733475
58.0,campeones_del_mundo,0.051369860768318176,0.3999151885509491,0.4512850493192673
59.0,campeones_del_mundo,0.1802988052368164,0.26753297448158264,0.44783177971839905
60.0,campeones_del_mundo,0.3827856183052063,0.03923314809799194,0.42201876640319824
61.0,campeones_del_mundo,0.07228679955005646,0.2748977541923523,0.34718455374240875
62.0,campeones_del_mundo,,,
63.0,campeones_del_mundo,0.6762391924858093,0.0172589048743248,0.6934980973601341
64.0,campeones_del_mundo,0.3272106647491455,0.058417465537786484,0.385628130286932
65.0,campeones_del_mundo,0.4023439884185791,0.021062664687633514,0.4234066531062126
